"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1003897_1,CDM,0278,RC,,,V2790,HCPCS,outpatient,,,3645.00,2369.25,MEDICA MCR ADV,MEDICA MCR ADV,,3645.00,,,,,,0,911.25,9413.21,other,APC - Medicare Packaging Rules [HCPCS] ( 3645.00*1 ) Term Line 43 | There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1040259_1,CDM,0810,RC,,,V2790,HCPCS,outpatient,,,1305.00,848.25,MEDICA COMM - ALL OTHER PLANS,MEDICA COMM - ALL OTHER PLANS,,783.00,60.00,,783,,,0,587.25,3370.16,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1043616_1,CDM,0278,RC,,,V2790,HCPCS,outpatient,,,4225.50,2746.58,HEALTH PARTNERS COMM/EXCH - ALL OTHER PLANS,HEALTH PARTNERS COMM/EXCH - ALL OTHER PLANS,,10912.35,,,,,,0,1056.38,10912.35,other,APC - Medicare Packaging Rules [HCPCS] ( 4225.50*2.5825 ) Term Line 6 | There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1043616_1,CDM,0278,RC,,,V2790,HCPCS,outpatient,,,4225.50,2746.58,MIDLANDS CHOICE PREMIER-ALL OTHER PLANS,MIDLANDS CHOICE PREMIER-ALL OTHER PLANS,,2155.01,51.00,,2155.01,,,0,1056.38,10912.35,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1062739_1,CDM,0278,RC,,,V2790,HCPCS,outpatient,,,4027.50,2617.88,MOLINA MCAID - ALL OTHER PLANS,MOLINA MCAID - ALL OTHER PLANS,,1812.38,45.00,,1812.38,,,0,1006.88,10401.02,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1062739_1,CDM,0278,RC,,,V2790,HCPCS,outpatient,,,4027.50,2617.88,MOLINA MCR ADV,MOLINA MCR ADV,,4309.43,,,,,,0,1006.88,10401.02,other,APC - Medicare Packaging Rules [HCPCS] ( 4027.50*1.07 ) Term Line 45 | There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",T1062739_1,CDM,0278,RC,,,V2790,HCPCS,outpatient,,,4027.50,2617.88,UHC MCR ADV,UHC MCR ADV,,4027.50,,,,,,0,1006.88,10401.02,other,APC - Medicare Packaging Rules [HCPCS] ( 4027.50*1 ) Term Line 136 | There were zero instances of the item or service in the 15 months prior to posting the file
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE",V2790_1,CDM,0989,RC,,,V2790,HCPCS,outpatient,,,2700.00,1755.00,AETNA COMM - ALL OTHER PLANS,AETNA COMM - ALL OTHER PLANS,,78.57,,,,,,0,73.60,2781.00,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,MS-DRG,,,,,,,inpatient,1,UN,184318.32,119806.91,MEDICA ELEVATE,MEDICA ELEVATE,,77925.95,,,,,,0,31127.73,129022.82,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ANKLE FOOT ORTHOSIS, MULTILIGAMENTOUS ANKLE SUPPORT, PREFABRICATED, OFF-THE-SHELF",L1906_1,CDM,0989,RC,,,L1906,HCPCS,outpatient,,,92.50,60.13,BCBS MCR ADV,BCBS MCR ADV,,92.50,,,,,,0,51.58,284.81,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANKLE FOOT ORTHOSIS, MULTILIGAMENTOUS ANKLE SUPPORT, PREFABRICATED, OFF-THE-SHELF",L1906_1,CDM,0989,RC,,,L1906,HCPCS,outpatient,,,92.50,60.13,MOLINA MCR ADV,MOLINA MCR ADV,,147.87,,,,,,0,51.58,284.81,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANKLE ORTHOSIS, ANKLE GAUNTLET OR SIMILAR, WITH OR WITHOUT JOINTS, PREFABRICATED, OFF-THE-SHELF",L1902_1,CDM,0989,RC,,,L1902,HCPCS,outpatient,,,61.75,40.14,HEALTH PARTNERS MCAID,HEALTH PARTNERS MCAID,,84.78,,,,,,0,36.14,199.52,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANNUAL DEPRESSION SCREENING, 5 TO 15 MINUTES",G0444_1,CDM,0989,RC,,,G0444,HCPCS,outpatient,,,54.00,35.10,AETNA MCR ADV,AETNA MCR ADV,,7.68,,,,,,0,7.68,78.57,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANNUAL DEPRESSION SCREENING, 5 TO 15 MINUTES",G0444_1,CDM,0989,RC,,,G0444,HCPCS,outpatient,,,54.00,35.10,MEDICA MCR ADV,MEDICA MCR ADV,,7.68,,,,,,0,7.68,78.57,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANNUAL WELLNESS VISIT, INCLUDES A PERSONALIZED PREVENTION PLAN OF SERVICE (PPS), SUBSEQUENT VISIT",G0439_1,CDM,0989,RC,,,G0439,HCPCS,outpatient,,,275.00,178.75,UHC MCR ADV,UHC MCR ADV,,129.59,,,,,,0,78.57,345.10,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANNUAL, FACE-TO-FACE INTENSIVE BEHAVIORAL THERAPY FOR CARDIOVASCULAR DISEASE, INDIVIDUAL, 15 MINUTES",G0446_1,CDM,0989,RC,,,G0446,HCPCS,outpatient,,,64.60,41.99,UHC ALL PAYER - ALL OTHER PLANS,UHC ALL PAYER - ALL OTHER PLANS,,63.71,,,,,,0,25.17,80.08,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ANORECTAL MANOMETRY, WITH RECTAL SENSATION AND RECTAL BALLOON EXPULSION TEST, WHEN PERFORMED",40989117_1,CDM,0750,RC,,,91125,HCPCS,outpatient,,,720.00,468.00,BCBS MCR ADV,BCBS MCR ADV,,720.00,,,,,,0,180.00,1859.40,other,APC - Medicare Packaging Rules [HCPCS] ( 720.00*1 ) Term Line 38 | There were zero instances of the item or service in the 15 months prior to posting the file
