"""""""Hb 43999 Unlisted Procedure Stomach""","75000184","CDM","750","RC","","","","","facility","both","","","","6069","2124.15","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"Abltj perc lxtr/perph nrv","0441T","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","2100.37","","","","","","","fee schedule","2039.19","9732","APC"
"Abltj perc plex/trncl nrv","0442T","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","9164.44","","","","","","","fee schedule","7046","18328.87","APC"
"Abltj perc uxtr/perph nrv","0440T","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","2181.93","","","","","","","fee schedule","2039.19","9732","APC"
"Abltj perc uxtr/perph nrv","0440T","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","3058.78","","","","","","","fee schedule","2039.19","9732","APC"
"Abobotulinumtoxina","J0586","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","8.89","","","","","","","fee schedule","8.75","17.5","APC"
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Devoted Health","Medicare Managed Care Plan","11134.19","","","","","","","fee schedule","4021.94","23359.09","MSDRG Base Rate"
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Global Excel Management","All Commercial Plans","14911.86","","","","","","","fee schedule","4021.94","23359.09","Burn-Case Rate"
"Above elbow prosth tiss shap","L6500","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","7146.9","","","","","","","fee schedule","3970.5","7941","APC"
"Above knee cushion socket","L5648","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","902.73","","","","","","","fee schedule","806.01","1612.02","APC, OP Rate"
"Above knee manual lock","L5925","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","557.26","","","","","","","fee schedule","548.48","1096.96","APC"
"Above knee manual lock","L5925","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","575.9","","","","","","","fee schedule","548.48","1096.96","APC"
"Above knee wood socket","L5644","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","1084.64","","","","","","","fee schedule","723.09","1446.18","APC"
"Abrasion lesion single","15786","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","213.71","","","","","","","fee schedule","209.52","972","APC"
"Acesso dl, per sq cm","Q4293","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","196.78","","","","","","","fee schedule","129.95","1822.44","APC"
"Acetone assay","82010","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","12.37","","","","","","","fee schedule","8.17","16.34","APC"
"Achr antb id imfluor livecll","0545U","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","38.33","","","","","","","fee schedule","37.73","75.46","APC"
"Achr antb id imfluor livecll","0545U","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","40.37","","","","","","","fee schedule","37.73","75.46","APC"
"Actigraphy testing","95803","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","93.28","","","","","","","fee schedule","61.6","123.21","APC"
"Actin antibody each","86015","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","12.05","","","","","","","fee schedule","12.05","24.1","Laboratory"
"Acupunct w/o stimul 15 min","97810","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","54.37","","","","","","","fee schedule","30.2","60.41","APC"
"Acute & Subacute Endocarditis","126","MS-DRG","","","","","","","facility","inpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Baycare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Cigna","Ppo","23956.37","","","","","","","fee schedule","7692.77","23956.37",""
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Global Excel Management","All Commercial Plans","","","[MSDRG Base Rate: FEE SCHEDULE] [IP Prosthetics/Implants/Devices (%BC): 55] [Burn-Case Rate: FEE SCHEDULE] [Trauma-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Global Excel Management","All Commercial Plans","16487.01","","","","","","","fee schedule","7692.77","23956.37","Trauma-Case Rate"
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Humana","Medicaid Managed Care Plan","","","[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]","","","","0","other","","","No services performed during 15-month lookback period."
