"""""""Hb 92997""","48100111","CDM","481","RC","","","","","facility","both","","","","21991","7696.85","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"Abltj ire liver 1+ tum perq","47384","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","16650.77","","","","","","","fee schedule","11100.51","22201.02","APC"
"Abltj mal brst tum perq crtx","0581T","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","4211.47","","","","","","","fee schedule","3760","8177.61","APC"
"Abltj mal prst8 mag fld ndct","0739T","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","3613","","","","","","","fee schedule","3613","4992",""
"Abltj mal prst8 tiss hifu","55880","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","14828.44","","","","","","","fee schedule","3760","19771.25","APC"
"Abltj perc lxtr/perph nrv","0441T","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","4078.38","","","","","","","fee schedule","2039.19","9732","APC"
"Abo gnotyp abo 7 exons","0180U","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","299.56","","","","","","","fee schedule","274.83","549.66","APC"
"Abo gnotyp abo 7 exons","0180U","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","461.71","","","","","","","fee schedule","274.83","549.66","APC"
"Abobotulinumtoxina","J0586","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","9.77","","","","","","","fee schedule","8.75","17.5",""
"Abobotulinumtoxina","J0586","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","14.7","","","","","","","fee schedule","8.75","17.5","APC"
"Abortion (mpr)","59866","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","350.05","","","","","","","fee schedule","318.22","1502","APC"
"Abortion (mpr)","59866","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","477.33","","","","","","","fee schedule","318.22","1502","APC"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","","","facility","inpatient","","","","","","Aetna","Hmo","","","[Stop Loss: Total Charges > 1450367 | Total % of Charge: 28] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1603] [Rehab-Per Diem: 2399] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
