"BIOPSY, PLEURA- PERCUT. NEEDLE",45732400,CDM,361,RC,32400,CPT,,,facility,outpatient,,,2323.00000,,Viva,Commercial,,929.20,,,,,,,929.20,2090.70,percent of total billed charges,
"BIOPSY, PLEURA- PERCUT. NEEDLE",46932400,CDM,361,RC,32400,CPT,,,facility,inpatient,,,2323.00000,,Gulf Health Plans,Commercial,PO,1974.55,,,,,,,1161.50,2090.70,percent of total billed charges,
"BIOPSY, PLEURA- PERCUT. NEEDLE",46932400,CDM,361,RC,32400,CPT,,,facility,inpatient,,,2323.00000,,Mississippi Physicians,Commercial,PO,1974.55,,,,,,,1161.50,2090.70,percent of total billed charges,
"BIOPSY, PLEURA- PERCUT. NEEDLE",46932400,CDM,361,RC,32400,CPT,,,facility,outpatient,,,2323.00000,,North Mississippi Health Link,Commercial,PO,2090.70,,,,,,,929.20,2090.70,percent of total billed charges,
"BIOPSY, PLEURA- PERCUT. NEEDLE",46932400,CDM,361,RC,32400,CPT,,,facility,outpatient,,,2323.00000,,United Healthcare,Commercial,PO,2068.40,,,,,,,929.20,2090.70,percent of total billed charges,
"BRACHY SUPERVISE,HANDLE,LOAD",05541190,CDM,333,RC,77790,CPT,,,facility,outpatient,,,1048.00000,,Starcare,Workers' Compensation,,838.40,,,,,,,46.00,943.20,percent of total billed charges,
"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",585,MS-DRG,,,,,,,facility,inpatient,,,,,Cigna,New Business,,57487.18,,,,,,,12928.00,57487.18,case rate,
"BURR, BIT, BLADE  100",14006019,CDM,272,RC,,,,,facility,inpatient,,,556.00000,,Gulf Health Plans,Commercial,,472.60,,,,,,,278.00,500.40,percent of total billed charges,
"BURR, BIT, BLADE  100",14006019,CDM,272,RC,,,,,facility,outpatient,,,556.00000,,Multiplan,Commercial,,455.92,,,,,,,278.00,500.40,percent of total billed charges,
"BURR, BIT, BLADE  100",14006019,CDM,272,RC,,,,,facility,outpatient,,,556.00000,,Prime Health Services,Workers' Compensation,,444.80,,,,,,,278.00,500.40,percent of total billed charges,
"BURR, BIT, BLADE  1000",14006034,CDM,272,RC,,,,,facility,inpatient,,,4106.00000,,NovaNet,Commercial,,3695.40,,,,,,,2053.00,3695.40,percent of total billed charges,
"BURR, BIT, BLADE  1000",14006034,CDM,272,RC,,,,,facility,outpatient,,,4106.00000,,Galaxy Health Network,Commercial,,3695.40,,,,,,,2053.00,3695.40,percent of total billed charges,
"BURR, BIT, BLADE  1200",14006035,CDM,272,RC,,,,,facility,outpatient,,,4650.00000,,National Provider Network,Commercial,,4185.00,,,,,,,2325.00,4185.00,percent of total billed charges,
"BURR, BIT, BLADE  125",14006020,CDM,272,RC,,,,,facility,outpatient,,,666.00000,,Comp One,Workers' Compensation,,479.52,,,,,,,333.00,599.40,percent of total billed charges,
