"Art byp carotid-vertebral","35642","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","4419.21",,,,,,,"fee schedule","3051","7268.12",
"Art byp fem-ant-post tib/prl","35566","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","6409.58",,,,,,,"fee schedule","3051","7268.12",
"Art byp grft axill-femoral","35521","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","4419.21",,,,,,,"fee schedule","3051","7268.12",
"Art byp grft brchl-ulnr-rdl","35523","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","6409.58",,,,,,,"fee schedule","3051","7268.12",
"Art byp grft hepatorenal","35535","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","6409.58",,,,,,,"fee schedule","3051","7268.12",
"Art byp grft subclav-vertbrl","35515","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","7268.12",
"Art byp iliofemoral","35665","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","3051","7268.12",
"Art pressure waveform analys","93050","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","30.46",,,,,,,"fee schedule","29.01","61.5","APC"
"Artery to vein shunt","36835","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","4817",,,,,,,"fee schedule","3167.03","7870",
"Artery transpose/endovas taa","33889","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","9038.79",,,,,,,"fee schedule","3051","10249.52",
"Artery x-rays adrenal gland","75731","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","6714.1",,,,,,,"fee schedule","147.1","6714.1","APC"
"Artery x-rays chest","75756","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","241.27",,,,,,,"fee schedule","163.75","6928.2",
"Artery x-rays chest","75756","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","3262.04",,,,,,,"fee schedule","163.75","6928.2","APC"
"Artery x-rays lung","75741","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","6714.1",,,,,,,"fee schedule","103.94","6928.2","APC"
"Artery x-rays lung","75741","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","103.95",,,,,,,"fee schedule","103.94","6928.2",
"Arthrodesis sacroiliac joint","27279","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","17938.58",,,,,,,"fee schedule","5730","37284.11","APC"
"Arthrodesis sacroiliac joint","27279","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","11403.39",,,,,,,"fee schedule","5730","37284.11",
"Arthroscopy biceps tenodesis","29828","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","7423.72",,,,,,,"fee schedule","5405","15429.7","APC"
"Arthroscopy of joint","29999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","524.52",,,,,,,"fee schedule","247.41","11531.48","APC"
"Arthroscopy","509","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Blue Pathways Exchange",,,"[Stop Loss: Total Charges > 210600.19 | Total % of Charge: 50] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 12825.89] [Normal Vaginal Delivery-Case Rate: 9161.35] [Psych-Per Diem: 2056.73] [Rehab-Per Diem: 2258.26] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 70] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Artificial insemination","58321","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","647.98",,,,,,,"fee schedule","305.65","4840.09","APC"
"Artificial insemination","58322","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","2678.54",,,,,,,"fee schedule","202.78","4840.09",
"Artificial insemination","58322","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1343",,,,,,,"fee schedule","202.78","4840.09",
"As-aort grf f/ds oth/thn dsj","33859","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","10249.52",,,,,,,"fee schedule","6309.89","10249.52",
"Asc Only Unlisted Procedure - Arthroscopic Scapholunate Reconstruction With Palmaris Longus Graft &","4902999907","CDM","490","RC","29999","HCPCS",,,"facility","both",,,,"8295","8295",,,,,,,,,,,,,
"Asc Only Unlisted Procedure - Arthroscopy - Arthroscopic Pectoralis Minor Release","4902999912","CDM","490","RC","29999","HCPCS",,,"facility","both",,,,"8295","8295",,,,,,,,,,,,,
"Asc Only Unlisted Procedure - Arthroscopy - Arthroscopic Suprascapular And Spinoglenoid Notch Cyst E","4902999929","CDM","490","RC","29999","HCPCS",,,"facility","both",,,,"8295","8295",,,,,,,,,,,,,
"Asc Only Unlisted Procedure - Arthroscopy - Endoscopic Gluteus Medius And Minimus Tear Repair","4902999930","CDM","490","RC","29999","HCPCS",,,"facility","both",,,,"8295","8295",,,,,,,,,,,,,
"Asc Only Unlisted Procedure, Accessory Sinuses - Endoscopic Middle Turbinate Resection","4903129908","CDM","490","RC","31299","HCPCS",,,"facility","both",,,,"16385","16385",,,,,,,,,,,,,
"Asc Only Unlisted Procedure, Anus ? Solesta Injection","4904699902","CDM","490","RC","46999","HCPCS",,,"facility","both",,,,"5778","5778",,,,,,,,,,,,,
"Ascor: 1 Vial, Glass In 1 Carton (67157-101-50)  / 50 Ml In 1 Vial, Glass","160186_67157010150","CDM","250","RC","67157010150","NDC",,,"facility","both","1","EA",,"30.69","30.69",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Ashkenazi jewish assoc dis","81412","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","2448.56",,,,,,,"fee schedule","1836.42","5190.95",
"Aspa gene","81200","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","50.08",,,,,,,"fee schedule","35.44","100.17","APC"
"Aspergillus ag ia","87305","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","21.56",,,,,,,"fee schedule","8.99","25.4",
"Aspirate pleura w/ imaging","32555","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","635.49",,,,,,,"fee schedule","629.2","4840.09","APC"
"Aspirate pleura w/ imaging","32555","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","629.2","4840.09",
"Aspiration orbital contents","67415","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","2384.68","5055.51",
"Assay Activated Protein C","85307","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","15.32",,,,,,,"fee schedule","11.49","32.48",
"Assay Of Homocystine","83090","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","17.92",,,,,,,"fee schedule","13.44","37.99",
"Assay Of Nos Vitamin","84591","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","17.57",,,,,,,"fee schedule","12.8","36.17","APC"
"Assay alkaline phosphatase","84075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","4.4",,,,,,,"fee schedule","3.89","10.98",
"Assay aminolevulinic acid","82135","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","13.98",,,,,,,"fee schedule","12.34","34.87",
"Assay aminolevulinic acid","82135","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","22.47",,,,,,,"fee schedule","12.34","34.87",
"Assay bld/serum cholesterol","82465","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","4.35",,,,,,,"fee schedule","3.26","9.22",
"Assay blood catecholamines","82383","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","30.82",,,,,,,"fee schedule","21.81","61.65","APC"
"Assay dir meas fr estradiol","82681","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","27.94",,,,,,,"fee schedule","20.96","59.23",
"Assay duodenal fluid trypsin","84485","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","7.2",,,,,,,"fee schedule","5.4","15.26",
"Assay free hydroxyproline","83500","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","22.88",,,,,,,"fee schedule","16.99","48.02","APC"
"Assay galactose transferase","82775","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","28.78",,,,,,,"fee schedule","15.8","44.67",
"Assay growth hormone (hgh)","83003","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","16.67",,,,,,,"fee schedule","12.5","35.34","APC"
"Assay of 17-hydroxypregneno","84143","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","23.95",,,,,,,"fee schedule","17.11","48.36","APC"
"Assay of 5-hiaa","83497","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","12.9",,,,,,,"fee schedule","9.68","27.35",
"Assay of GGT","82977","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","9.83",,,,,,,"fee schedule","5.4","15.26",
"Assay of acth","82024","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","52.75",,,,,,,"fee schedule","28.97","81.87",
"Assay of adp & amp","82030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","38.7",,,,,,,"fee schedule","19.35","54.7",
"Assay of adp & amp","82030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","25.8",,,,,,,"fee schedule","19.35","54.7","APC"
"Assay of aluminum","82108","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","26.75",,,,,,,"fee schedule","19.11","54.02","APC"
"Assay of amikacin","80150","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","12.82",,,,,,,"fee schedule","11.31","31.97",
"Assay of amylase","82150","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","6.67",,,,,,,"fee schedule","4.86","13.74","APC"
"Assay of arsenic","82175","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","40.22",,,,,,,"fee schedule","14.23","40.22","APC"
"Assay of arsenic","82175","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","19.92",,,,,,,"fee schedule","14.23","40.22","APC"
"Assay of ascorbic acid","82180","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","9.89",,,,,,,"fee schedule","7.42","20.97",
"Assay of b hexosaminidase","83080","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","23.98",,,,,,,"fee schedule","12.65","35.76",
"Assay of blood fatty acids","82725","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","14.08",,,,,,,"fee schedule","14.08","39.79",
"Assay of blood fatty acids","82725","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","18.77",,,,,,,"fee schedule","14.08","39.79",
"Assay of blood lipoprotein","83721","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","10.82",,,,,,,"fee schedule","7.88","22.26","APC"
"Assay of blood osmolality","83930","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","9.92",,,,,,,"fee schedule","4.96","14.01",
"Assay of blood/uric acid","84550","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","6.78",,,,,,,"fee schedule","3.39","9.58",
"Assay of bradykinin","82286","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","7.74",,,,,,,"fee schedule","3.87","10.94",
"Assay of breath ethanol","82075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","25.5",,,,,,,"fee schedule","22.5","63.6",
"Assay of breath ethanol","82075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","30",,,,,,,"fee schedule","22.5","63.6",
"Assay of c-peptide","84681","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","31.22",,,,,,,"fee schedule","15.61","44.12",
"Assay of c-peptide","84681","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","37.46",,,,,,,"fee schedule","15.61","44.12",
"Assay of c-peptide","84681","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","28.42",,,,,,,"fee schedule","15.61","44.12",
"Assay of cadmium","82300","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","23.64",,,,,,,"fee schedule","17.73","50.12",
"Assay of calcium","82330","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","13.68",,,,,,,"fee schedule","10.26","29",
"Assay of carotene","82380","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","19.55",,,,,,,"fee schedule","6.92","19.55","APC"
"Assay of ceruloplasmin","82390","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","10.74",,,,,,,"fee schedule","8.06","22.77","APC"
"Assay of chloramphenicol","82415","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","22.81",,,,,,,"fee schedule","9.5","26.86",
"Assay of chloramphenicol","82415","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","26.86",,,,,,,"fee schedule","9.5","26.86","APC"
"Assay of citrate","82507","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","23.63",,,,,,,"fee schedule","20.85","58.94",
"Assay of citrate","82507","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","37.97",,,,,,,"fee schedule","20.85","58.94",
"Assay of ck (cpk)","82550","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","13.8",,,,,,,"fee schedule","4.88","13.8","APC"
"Assay of ck (cpk)","82550","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","6.51",,,,,,,"fee schedule","4.88","13.8",
"Assay of copper","82525","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","9.31",,,,,,,"fee schedule","9.31","26.31",
"Assay of corticosteroids 17","83491","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","17.9",,,,,,,"fee schedule","13.43","37.95",
"Assay of creatine","82540","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","4.64",,,,,,,"fee schedule","3.48","9.84",
"Assay of creatine","82540","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","4.64",,,,,,,"fee schedule","3.48","9.84",
"Assay of cyanide","82600","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","16.49",,,,,,,"fee schedule","14.55","41.13",
"Assay of digoxin free","80163","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","14.08",,,,,,,"fee schedule","9.96","28.15","APC"
"Assay of digoxin total","80162","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","13.28",,,,,,,"fee schedule","9.96","28.15",
"Assay of endocrine hormone","84235","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","53.42",,,,,,,"fee schedule","53.42","151.01",
"Assay of estriol","82677","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","24.18",,,,,,,"fee schedule","18.14","51.26","APC"
"Assay of estriol","82677","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","25.63",,,,,,,"fee schedule","18.14","51.26","APC"
"Assay of feces for trypsin","84490","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","7.45",,,,,,,"fee schedule","7.45","21.05",
"Assay of ferritin","82728","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","14.04",,,,,,,"fee schedule","10.22","28.9","APC"
"Assay of fluoride","82735","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","18.54",,,,,,,"fee schedule","13.91","39.3",
"Assay of galactose","82760","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","11.2",,,,,,,"fee schedule","8.4","23.74",
"Assay of gastrin","82941","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","17.63",,,,,,,"fee schedule","13.22","37.38","APC"
"Assay of gastrin","82941","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","24.08",,,,,,,"fee schedule","13.22","37.38",
"Assay of glucagon","82943","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","14.29",,,,,,,"fee schedule","10.72","30.29",
"Assay of glucagon","82943","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","15",,,,,,,"fee schedule","10.72","30.29","APC"
"Assay of glucagon","82943","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","20.31",,,,,,,"fee schedule","10.72","30.29",
"Assay of glucosidase","82963","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","21.91",,,,,,,"fee schedule","16.11","45.54","APC"
"Assay of glutathione","82978","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","21.96",,,,,,,"fee schedule","11.59","32.75",
"Assay of glutathione","82978","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","16.38",,,,,,,"fee schedule","11.59","32.75","APC"
"Assay of glycated protein","82985","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","12.57",,,,,,,"fee schedule","12.57","35.53",
"Assay of glycated protein","82985","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","16.76",,,,,,,"fee schedule","12.57","35.53",
"Assay of gonadotropin (lh)","83002","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","19.08",,,,,,,"fee schedule","13.89","39.26","APC"
"Assay of hemoglobin heat","83065","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","9",,,,,,,"fee schedule","6.75","19.08",
"Assay of hemosiderin qual","83070","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","8.55",,,,,,,"fee schedule","3.56","10.07",
"Assay of ige","82785","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","16.95",,,,,,,"fee schedule","12.35","34.9","APC"
"Assay of ige","82785","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","16.46",,,,,,,"fee schedule","12.35","34.9",
"Assay of insulin","83525","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","11.43",,,,,,,"fee schedule","8.57","24.23",
"Assay of ketogenic steroids","83582","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","15.47",,,,,,,"fee schedule","11.6","32.8",
"Assay of lactic acid","83605","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","8.68",,,,,,,"fee schedule","8.68","24.53",
"Assay of lap enzyme","83670","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","10.1",,,,,,,"fee schedule","7.36","20.8","APC"
"Assay of ldh enzymes","83625","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","9.59",,,,,,,"fee schedule","9.59","27.11",
"Assay of lidocaine","80176","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","14.84",,,,,,,"fee schedule","11.02","31.14","APC"
"Assay of myoglobin","83874","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","18.36",,,,,,,"fee schedule","9.69","27.39",
"Assay of nickel","83885","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","24.51",,,,,,,"fee schedule","18.38","51.96",
"Assay of nucleotidase","83915","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","11.37",,,,,,,"fee schedule","8.36","23.64","APC"
"Assay of nucleotidase","83915","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","11.15",,,,,,,"fee schedule","8.36","23.64",
"Assay of oxalate","83945","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","26.01",,,,,,,"fee schedule","10.84","30.63",
"Assay of phenylketones","84035","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","3.98",,,,,,,"fee schedule","2.99","8.44",
"Assay of phenytoin total","80185","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","11.26",,,,,,,"fee schedule","9.94","28.09",
"Assay of plasma hemoglobin","83051","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","7.38",,,,,,,"fee schedule","5.48","15.5","APC"
"Assay of porphobilinogen","84110","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","8.86",,,,,,,"fee schedule","6.33","17.89","APC"
"Assay of prealbumin","84134","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","19.93",,,,,,,"fee schedule","10.94","30.93",
"Assay of prealbumin","84134","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","14.59",,,,,,,"fee schedule","10.94","30.93",
"Assay of progesterone 17-d","83498","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","40.76",,,,,,,"fee schedule","20.38","57.6",
"Assay of progesterone 17-d","83498","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","20.38",,,,,,,"fee schedule","20.38","57.6",
"Assay of prolactin","84146","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","34.88",,,,,,,"fee schedule","14.54","41.09",
"Assay of prolactin","84146","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","19.38",,,,,,,"fee schedule","14.54","41.09",
"Assay of prolactin","84146","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","20.35",,,,,,,"fee schedule","14.54","41.09","APC"
"Assay of protein any source","84160","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5.61",,,,,,,"fee schedule","4.21","11.89",
"Assay of protein any source","84160","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","5.61",,,,,,,"fee schedule","4.21","11.89",
"Assay of protein other","84157","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","4.08",,,,,,,"fee schedule","3","8.48","APC"
"Assay of protein other","84157","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3",,,,,,,"fee schedule","3","8.48",
"Assay of protein urine","84156","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","3.74",,,,,,,"fee schedule","2.75","7.78","APC"
"Assay of psa complexed","84152","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","27.59",,,,,,,"fee schedule","13.79","38.99",
"Assay of psa free","84154","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","33.1",,,,,,,"fee schedule","13.79","38.99",
"Assay of psa free","84154","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","18.94",,,,,,,"fee schedule","13.79","38.99","APC"
"Assay of psa total","84153","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","19.31",,,,,,,"fee schedule","13.79","38.99","APC"
"Assay of pyruvate kinase","84220","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","9.72",,,,,,,"fee schedule","7.08","20.01","APC"
"Assay of quinidine","80194","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","14.6",,,,,,,"fee schedule","10.95","30.95",
"Assay of renin","84244","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","22.65",,,,,,,"fee schedule","16.49","46.62","APC"
"Assay of serum albumin","82040","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","7.43",,,,,,,"fee schedule","3.71","10.49",
"Assay of serum potassium","84132","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","4.76",,,,,,,"fee schedule","3.57","10.09","APC"
"Assay of sex hormone globul","84270","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","39.11",,,,,,,"fee schedule","16.3","46.07",
"Assay of sex hormone globul","84270","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","23.03",,,,,,,"fee schedule","16.3","46.07","APC"
"Assay of sialic acid","84275","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","13.44",,,,,,,"fee schedule","10.08","28.49",
"Assay of silica","84285","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","25.21",,,,,,,"fee schedule","18.91","53.45",
"Assay of somatostatin","84307","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","13.71",,,,,,,"fee schedule","13.71","38.75",
"Assay of somatostatin","84307","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","18.28",,,,,,,"fee schedule","13.71","38.75",
"Assay of sweat sodium","84302","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","4.86",,,,,,,"fee schedule","3.65","10.3",
"Assay of tacrolimus","80197","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","20.6",,,,,,,"fee schedule","10.3","29.11",
