"Endovascular Cardiac Valve Replacement And Supplement Procedures With Mcc","266","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Optum","Ccn Government",,,"[MSDRG Base Rate: FEE SCHEDULE]","73549.1","73549.1","73549.1","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Endovascular Cardiac Valve Replacement And Supplement Procedures Without Mcc","267","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Optum","Ccn Government","43956.67",,,,,,,"fee schedule","43956.67","99874.41","MSDRG Base Rate"
"Endovenous laser 1st vein","36478","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","3198.7",,,,,,,"fee schedule","3167.03","11403.39","APC"
"Endovenous laser 1st vein","36478","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3167.03",,,,,,,"fee schedule","3167.03","11403.39","APC"
"Enoxaparin Sodium: 10 SYRINGE in 1 CARTON (0703-8580-23)  / 1 mL in 1 SYRINGE (0703-8580-21)","105903_00703858023","CDM","636","RC","J1650","HCPCS","00703858023","NDC","facility","both","1","EA",,"8.76","8.76",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Ent procedure/service","92700","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","29.88",,,,,,,"fee schedule","29.01","61.5","APC"
"Entamoeb hist group ag ia","87337","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","25.4",,,,,,,"fee schedule","8.99","25.4","APC"
"Enterectomy live donor","44133","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3514.53",,,,,,,"fee schedule","3514.53","5843.31",
"Enterovirus antibody","86658","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","27.62",,,,,,,"fee schedule","9.77","27.62","APC"
"Ep & ablate ventric tachy","93654","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","10674.37",,,,,,,"fee schedule","6580.16","55579.85",
"Epidrm a-grft f/n/hf/g addl","15116","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","2987",,,,,,,"fee schedule","1343","4840.09",
"Epidrm a-grft face/nck/hf/g","15115","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","2090.22",,,,,,,"fee schedule","2069.52","5051.48","APC"
"Epidrm a-grft face/nck/hf/g","15115","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","2069.52","5051.48",
"Epidrm autogrft trnk/arm/leg","15110","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","2069.52","5051.48",
"Epidural lysis mult sessions","62263","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","4221.48",,,,,,,"fee schedule","887.15","4840.09",
"Episiotomy or vaginal repair","59300","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","3011.79","6883.46",
"Epistaxis With Mcc","150","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hpn Other Commercial Plan",,,"[Stop Loss: Total Charges > 210600.19 | Total % of Charge: 69] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 15204.02] [Normal Vaginal Delivery-Case Rate: 10860.01] [Psych-Per Diem: 2022.14] [Rehab-Per Diem: 3228.69] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 70] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Epistaxis With Mcc","150","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Medicare Managed Care Plan","13787.91",,,,,,,"fee schedule","13787.91","29341.98","MSDRG Base Rate"
"Epistaxis With Mcc","150","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos",,,"[Stop Loss: Total Charges > 307779 | Total % of Charge: 59] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 3703] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 53400 Days: 8 Additional Days: 5291] [PTCA-Case Rate: 20258 Days: 4 Additional Days: 5291]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Epistaxis Without Mcc","151","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos",,,"[Stop Loss: Total Charges > 302159 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 2455] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 52424 Days: 8 Additional Days: 5194] [PTCA-Per Diem: 19887 Days: 4 Additional Days: 5194] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Epistaxis Without Mcc","151","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Ppo",,"72",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Epistaxis Without Mcc","151","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","12924.06",,,,,,,"fee schedule","7817.56","18086.76",
"Epistaxis Without Mcc","151","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hpn Other Commercial Plan",,,"[Stop Loss: Total Charges > 210600.19 | Total % of Charge: 69] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 15204.02] [Normal Vaginal Delivery-Case Rate: 10860.01] [Psych-Per Diem: 2022.14] [Rehab-Per Diem: 3228.69] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 70] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Epstein-barr antibody","86663","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","13.51",,,,,,,"fee schedule","9.84","27.81","APC"
"Epstein-barr antibody","86663","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","13.12",,,,,,,"fee schedule","9.84","27.81",
"Epstein-barr nuclear antigen","86664","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","11.47",,,,,,,"fee schedule","11.47","32.41",
"Ercp ea duct/ampulla dilate","43277","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6277",,,,,,,"fee schedule","3514.53","11385",
"Ercp ea duct/ampulla dilate","43277","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3867.13",,,,,,,"fee schedule","3514.53","11385","APC"
"Ercp sphincter pressure meas","43263","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","1924.71","5843.31",
"Ercp sphincter pressure meas","43263","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","1924.71","5843.31",
"Ercp sphincter pressure meas","43263","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","1982.45",,,,,,,"fee schedule","1924.71","5843.31","APC"
"Ercp w/bx & pancreatoscopy","C7542","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3514.53",,,,,,,"fee schedule","3514.53","6277",
"Escharotomy addl incision","16036","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","3722.82",,,,,,,"fee schedule","2678.54","4840.09",
"Esoph egd dilation <30 mm","43249","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1963.21",,,,,,,"fee schedule","1924.71","5345.54","APC"
"Esoph egd dilation <30 mm","43249","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","1924.71","5345.54",
"Esoph fundoplasty thor","43328","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","7972.53",,,,,,,"fee schedule","3051","7972.53",
"Esoph lengthening","43338","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","7030.77",,,,,,,"fee schedule","3051","7972.53",
"Esophag mucosal integ add-on","C9777","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","4060.49",,,,,,,"fee schedule","2572","11385","APC"
"Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders Without Mcc","392","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","9021.98",,,,,,,"fee schedule","8047.55","18937.22","MSDRG Base Rate"
"Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders Without Mcc","392","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hmo","15086.37",,,,,,,"fee schedule","8047.55","18937.22",
"Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders Without Mcc","392","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Oscar Health","Exchange","10824.32",,,,,,,"fee schedule","8047.55","18937.22",
"Esophagoscop mucosal resect","43211","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","1924.71","5495",
"Esophagoscop mucosal resect","43211","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1924.71","5495",
"Esophagoscop stent placement","43212","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","3295","12909.23",
"Esophagoscopy flexible brush","43200","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","2987",,,,,,,"fee schedule","909.73","4840.09",
"Esophagoscopy lesion removal","43216","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","4454.79",,,,,,,"fee schedule","1924.71","5051.48",
"Esophagoscopy rigid balloon","43195","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","2912","8198.32",
"Esophagoscopy rigid trnso dx","43191","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1924.71",,,,,,,"fee schedule","1924.71","5495","APC"
"Esophagoscopy w/us needle bx","43232","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4249",,,,,,,"fee schedule","1924.71","5345.54",
"Esophagoscp rig trnso biopsy","43193","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1963.21",,,,,,,"fee schedule","1924.71","7750","APC"
"Esophagus motility study","91010","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1343",,,,,,,"fee schedule","374.29","2987",
"Esphgsc flx 1st tndsc dilat","0884T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3514.53",,,,,,,"fee schedule","3514.53","12909.23",
"Establish access to artery","36140","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","1580",,,,,,,"fee schedule","1343","4840.09",
"Establish brain cavity shunt","62220","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","5153.08",,,,,,,"fee schedule","3051","5843.31",
"Esw wound healing init wound","0299T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","2572","4840.09",
"Ev cath dir chem abltj w/img","0524T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6277",,,,,,,"fee schedule","3167.03","7870",
"Ev fempop artl revsc","0505T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","11685",,,,,,,"fee schedule","4817","24547.7",
"Evac meibomian glnd heat bi","0563T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","59.17",,,,,,,"fee schedule","59.17","4221.48","APC"
"Evacuate mole of uterus","59870","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6654",,,,,,,"fee schedule","3011.79","8364.54",
"Evacuate mole of uterus","59870","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3600",,,,,,,"fee schedule","3011.79","8364.54",
"Eval amniotic fluid protein","84112","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","83.39",,,,,,,"fee schedule","73.58","207.99",
"Eval amniotic fluid protein","84112","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","139.44",,,,,,,"fee schedule","73.58","207.99",
"Evaluate speech production","92522","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","109.53",,,,,,,"fee schedule","107.14","249.66",
"Evaluation cervical mucus","89330","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","10.38",,,,,,,"fee schedule","7.79","22.01",
"Evasc rpr ilio-iliac ndgft","34707","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","8333",,,,,,,"fee schedule","5125.78","9675",
"Ex arm/elbow tum deep 5 cm/>","24073","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","4581",,,,,,,"fee schedule","2913.5","11385",
"Exam feces for meat fibers","89160","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","5.09",,,,,,,"fee schedule","3.64","10.28","APC"
"Exam of vagina w/scope","57420","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","2987",,,,,,,"fee schedule","305.65","4840.09",
"Exam synovial fluid crystals","89060","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","7.4",,,,,,,"fee schedule","5.5","15.54","APC"
"Exam/biopsy of vag w/scope","57421","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","942.31",,,,,,,"fee schedule","923.84","4840.09","APC"
"Exam/biopsy of vulva w/scope","56821","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","320.93",,,,,,,"fee schedule","305.65","4840.09","APC"
"Exc abd les sc 3 cm/>","22903","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","2913.5","11385",
"Exc abd les sc < 3 cm","22902","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1689.72",,,,,,,"fee schedule","1656.59","10726","APC"
"Exc arm/elbow les sc 3 cm/>","24071","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","3000.91",,,,,,,"fee schedule","2913.5","11385","APC"
"Exc arm/elbow les sc < 3 cm","24075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1656.59",,,,,,,"fee schedule","1656.59","5345.54","APC"
"Exc arm/elbow les sc < 3 cm","24075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","3425",,,,,,,"fee schedule","1656.59","5345.54",
"Exc back les sc < 3 cm","21930","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","1656.59","5345.54",
"Exc back tum deep 5 cm/>","21933","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5843.31",,,,,,,"fee schedule","2913.5","11385",
"Exc back tum deep < 5 cm","21932","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","3059.18",,,,,,,"fee schedule","2912","10726","APC"
"Exc f/e/e/n/l mal+mrg 0.6-1","11641","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","717.38",,,,,,,"fee schedule","710.27","4840.09","APC"
"Exc face les sc <2 cm","21011","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1952",,,,,,,"fee schedule","1656.59","5051.48",
"Exc face tum deep 2 cm/>","21014","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","3295",,,,,,,"fee schedule","1952","6176.62",
"Exc face-mm b9+marg 0.5 cm/<","11440","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","710.27","4840.09",
"Exc face-mm b9+marg 0.6-1 cm","11441","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","724.48",,,,,,,"fee schedule","710.27","4840.09","APC"
"Exc face-mm b9+marg 0.6-1 cm","11441","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","1505.78",,,,,,,"fee schedule","710.27","4840.09","APC"
"Exc face-mm b9+marg 1.1-2 cm","11442","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","710.27",,,,,,,"fee schedule","710.27","4840.09","APC"
"Exc face-mm b9+marg >4 cm","11446","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","5345.54",,,,,,,"fee schedule","2913.5","6176.62",
"Exc foot/toe tum deep <1.5cm","28045","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","6293.23",,,,,,,"fee schedule","2912","6293.23",
"Exc forearm les sc 3 cm/>","25071","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6277",,,,,,,"fee schedule","1656.59","11385",
"Exc forearm les sc < 3 cm","25075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","3511.98",,,,,,,"fee schedule","1656.59","5345.54","APC"
"Exc forearm les sc < 3 cm","25075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1656.59",,,,,,,"fee schedule","1656.59","5345.54","APC"
"Exc forearm tum deep < 3 cm","25076","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","1656.59","6293.23",
"Exc h-f-nk-sp b9+marg 1.1-2","11422","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1656.59","5051.48",
"Exc h-f-nk-sp b9+marg 3.1-4","11424","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","1656.59","5345.54",
"Exc hand les sc < 1.5 cm","26115","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1689.72",,,,,,,"fee schedule","1656.59","5345.54","APC"
"Exc hip/pelvis les sc < 3 cm","27047","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","3425",,,,,,,"fee schedule","2912","6176.62",
"Exc leg/ankle les sc 3 cm/>","27632","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5843.31",,,,,,,"fee schedule","2913.5","11385",
"Exc leg/ankle les sc 3 cm/>","27632","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3600",,,,,,,"fee schedule","2913.5","11385",
"Exc leg/ankle tum < 3 cm","27618","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","5345.54",,,,,,,"fee schedule","1656.59","5345.54",
"Exc leg/ankle tum < 3 cm","27618","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4249",,,,,,,"fee schedule","1656.59","5345.54",
"Exc neck les sc 3 cm/>","21552","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6277",,,,,,,"fee schedule","2913.5","11385",
"Exc neck tum deep 5 cm/>","21554","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","2942.64",,,,,,,"fee schedule","2913.5","11385","APC"
"Exc neck tum deep 5 cm/>","21554","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","3059.18",,,,,,,"fee schedule","2913.5","11385","APC"
"Exc neck tum deep < 5 cm","21556","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","4581",,,,,,,"fee schedule","2913.5","6176.62",
"Exc neck tum deep < 5 cm","21556","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","3088.31",,,,,,,"fee schedule","2913.5","6176.62","APC"
"Exc rectal tumor endoscopic","0184T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","6393.72",,,,,,,"fee schedule","4419.21","12909.23","APC"
"Exc s/n/h/f/g mal+mrg 1.1-2","11622","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","2572",,,,,,,"fee schedule","710.27","4840.09",
"Exc s/n/h/f/g mal+mrg 1.1-2","11622","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","3590",,,,,,,"fee schedule","710.27","4840.09",
"Exc shoulder tum deep < 5 cm","23076","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","2912","6176.62",
"Exc thigh/knee les sc 3 cm/>","27337","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","5153.08",,,,,,,"fee schedule","2913.5","11385",
"Exc thigh/knee les sc < 3 cm","27327","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","4581",,,,,,,"fee schedule","1656.59","5345.54",
"Exc thigh/knee tum deep <5cm","27328","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","6293.23",,,,,,,"fee schedule","2912","6293.23",
"Exc tr-ext b9+marg 0.5 cm<","11400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","3722.82",,,,,,,"fee schedule","710.27","4840.09",
"Exc tr-ext b9+marg 0.5 cm<","11400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","710.27","4840.09",
"Exc tr-ext b9+marg 0.6-1 cm","11401","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","419.98",,,,,,,"fee schedule","407.74","4840.09","APC"
"Exc tr-ext mal+marg 3.1-4 cm","11604","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","2296",,,,,,,"fee schedule","710.27","5345.54",
"Exch neph cath w/ dil stric","C7548","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","3011.79","11385",
"Exch neph cath w/ dil stric","C7548","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","3011.79","11385",
"Exch neph cath w/ dil stric","C7548","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","11385",,,,,,,"fee schedule","3011.79","11385",
"Exchange biliary drg cath","47536","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","5153.08",,,,,,,"fee schedule","3295","11385",
"Exchange nephrostomy cath","50435","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","4454.79",,,,,,,"fee schedule","1952","5495",
"Exchange nephrostomy cath","50435","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","1952","5495",
"Excise epiphyseal bar","20150","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3281.9",,,,,,,"fee schedule","3281.9","10848.4","APC"
"Excise excess skin arm/hand","15837","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3514.53",,,,,,,"fee schedule","2912","7798",
"Excise excessive skin arm","15836","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","3088.31",,,,,,,"fee schedule","2912","6293.23","APC"
"Excise foot tendon sheath","28088","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","3314.72",,,,,,,"fee schedule","3281.9","6957.62","APC"
"Excise lip or cheek fold","40819","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1556.28","5051.48",
"Excise mandible lesion","21040","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","7050.03",,,,,,,"fee schedule","3011.79","7050.03","APC"
"Excise max/zygoma b9 tumor","21030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","6234.62",,,,,,,"fee schedule","3051","12588","APC"
"Excise parotid gland/lesion","42415","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","10726",,,,,,,"fee schedule","4419.21","12588",
"Excise parotid gland/lesion","42425","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","12588",,,,,,,"fee schedule","4419.21","12588","APC"
"Excise pharynx lesion","42808","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","3011.79","7050.03",
"Excise sacral spine tumor","49215","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3514.53",,,,,,,"fee schedule","3051","7175.28",
"Excise sacral spine tumor","49215","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","7175.28",
"Excise sublingual gland","42450","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","5937.73",,,,,,,"fee schedule","3295","12588","APC"
"Excise sublingual gland","42450","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4557",,,,,,,"fee schedule","3295","12588",
