"Drainage of finger abscess","26011","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1656.59",,,,,,,"fee schedule","1656.59","5051.48","APC"
"Drainage of forearm bursa","25031","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4557",,,,,,,"fee schedule","1612.85","5345.54",
"Drainage of forearm lesion","25028","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3600",,,,,,,"fee schedule","2572","6957.62",
"Drainage of gum lesion","41800","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","133.45","4840.09",
"Drainage of hematoma/fluid","10140","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4249",,,,,,,"fee schedule","1656.59","5051.48",
"Drainage of hip joint","27030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","5405",,,,,,,"fee schedule","3051","15429.7",
"Drainage of hip joint","27030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","15429.7",
"Drainage of hydrocele","55000","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","4221.48",,,,,,,"fee schedule","710.27","4840.09",
"Drainage of mouth lesion","41000","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","4221.48",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of mouth lesion","41005","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","249.44",,,,,,,"fee schedule","237.57","4840.09","APC"
"Drainage of mouth lesion","41006","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","1571.84",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Drainage of mouth lesion","41009","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","4221.48",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of mouth lesion","41009","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","3722.82",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of mouth lesion","41015","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1343",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of mouth lesion","41015","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","1580",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of mouth lesion","41016","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","6115.87",,,,,,,"fee schedule","2572","12588","APC"
"Drainage of mouth lesion","41017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","2572","7050.03",
"Drainage of mouth lesion","41017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","3590",,,,,,,"fee schedule","2572","7050.03",
"Drainage of mouth lesion","41017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","2572","7050.03",
"Drainage of mouth lesion","41018","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","3299.31",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Drainage of mouth lesion","41018","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1556.28","5051.48",
"Drainage of ovarian cyst(s)","58800","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6277",,,,,,,"fee schedule","3011.79","6883.46",
"Drainage of ovarian cyst(s)","58800","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","3409.26",,,,,,,"fee schedule","3011.79","6883.46","APC"
"Drainage of palm bursa","26025","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","2572",,,,,,,"fee schedule","2572","6957.62",
"Drainage of palm bursas","26030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","3380.35",,,,,,,"fee schedule","2912","6957.62","APC"
"Drainage of pelvic abscess","45000","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","1260.27",,,,,,,"fee schedule","1200.26","5051.48","APC"
"Drainage of pelvic fluid","57020","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","3011.79","10637.27",
"Drainage of pelvis bursa","26991","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3600",,,,,,,"fee schedule","1612.85","5051.48",
"Drainage of pelvis lesion","26990","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","4581",,,,,,,"fee schedule","2572","6957.62",
"Drainage of pilonidal cyst","10080","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","724.48",,,,,,,"fee schedule","710.27","4840.09","APC"
"Drainage of pilonidal cyst","10080","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","731.58",,,,,,,"fee schedule","710.27","4840.09","APC"
"Drainage of prostate abscess","52700","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","3295","7495.56",
"Drainage of prostate abscess","55720","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4557",,,,,,,"fee schedule","2572","7495.56",
"Drainage of rectal abscess","45005","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","1212.26",,,,,,,"fee schedule","1200.26","5345.54","APC"
"Drainage of rectal abscess","45005","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","4797",,,,,,,"fee schedule","1200.26","5345.54",
"Drainage of rectal abscess","45020","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","5345.54",,,,,,,"fee schedule","2784.06","5902.2",
"Drainage of salivary cyst","42409","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","6293.23",,,,,,,"fee schedule","3011.79","7050.03",
"Drainage of salivary gland","42310","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of salivary gland","42320","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","4221.48",,,,,,,"fee schedule","540.96","4840.09",
"Drainage of scrotum abscess","55100","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1656.59","5051.48",
"Drainage of scrotum abscess","55100","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","1656.59","5051.48",
"Drainage of scrotum","54700","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","2096.71","5345.54",
"Drainage of skin abscess","10061","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","3590",,,,,,,"fee schedule","407.74","4840.09",
"Drainage of skin abscess","10061","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","407.74","4840.09",
"Drainage of skin abscess","10061","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","407.74","4840.09",
"Drainage of urethra abscess","53040","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","3011.79","7495.56",
"Drill skull for drainage","61108","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5843.31",,,,,,,"fee schedule","3051","5843.31",
"Drill skull for implantation","61107","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","3011.79","5051.48",
"Drug assay acetaminophen","80143","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","18.64",,,,,,,"fee schedule","13.98","39.52",
"Drug assay amiodarone","80151","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","39.52",,,,,,,"fee schedule","13.98","39.52","APC"
"Drug assay amiodarone","80151","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","13.98",,,,,,,"fee schedule","13.98","39.52",
"Drug assay clozapine","80159","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","20.15",,,,,,,"fee schedule","15.11","42.72",
"Drug assay cyclosporine","80158","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","13.54",,,,,,,"fee schedule","13.54","38.27",
"Drug assay everolimus","80169","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","14.42",,,,,,,"fee schedule","10.3","29.11","APC"
"Drug assay infliximab","80230","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","38.57",,,,,,,"fee schedule","28.93","81.77",
"Drug assay leflunomide","80193","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","40.5",,,,,,,"fee schedule","28.93","81.77","APC"
"Drug assay voriconazole","80285","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","27.11",,,,,,,"fee schedule","20.33","57.47",
"Drug screen amphetamines 1/2","80324","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","20.54",,,,,,,"fee schedule","18.12","43.48",
"Drug screen quan lamotrigine","80175","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","18.83",,,,,,,"fee schedule","9.94","28.09",
"Drug screening oxycodone","80365","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","24.16",,,,,,,"fee schedule","18.12","43.48",
"Drug screening propoxyphene","80367","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","33.03",,,,,,,"fee schedule","18.12","43.48",
"Drug scrn quan mycophenolate","80180","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","13.54",,,,,,,"fee schedule","13.54","38.27",
"Drug scrn quant oxcarbazepin","80183","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","18.1",,,,,,,"fee schedule","9.94","28.09",
"Drug test def 1-7 classes","G0480","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","114.43",,,,,,,"fee schedule","85.82","242.59",
"Drug test def 22+ classes","G0483","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","261.74",,,,,,,"fee schedule","185.19","523.47","APC"
"Drug test prsmv chem anlyzr","80307","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","52.82",,,,,,,"fee schedule","46.61","131.74",
"Dstrj extensive retinopathy","67227","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5843.31",,,,,,,"fee schedule","2572","8359.77",
"Dstrj extensive retinopathy","67227","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","5153.08",,,,,,,"fee schedule","2572","8359.77",
"Dstrj neurofibroma xtnsv","0420T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","748.72",,,,,,,"fee schedule","741.31","4840.09","APC"
"Dstrj nulyt agt gnclr nrv","64624","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","1958.63","5051.48",
"Dx bronchoscope/brush","31623","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","5345.54",,,,,,,"fee schedule","1785.28","5345.54",
"Dx intraop epcar us chd i&r","76989","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","194",,,,,,,"fee schedule","52.23","194",
"Dx intraop epicar car us chd","76987","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","194",,,,,,,"fee schedule","139.56","205.62",
"Dx laryngoscopy excl nb","31525","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1820.99",,,,,,,"fee schedule","1785.28","5051.48","APC"
"Dx laryngoscopy w/oper scope","31526","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","3784.8",,,,,,,"fee schedule","1785.28","5345.54","APC"
"Dx mammo incl cad uni","77065","HCPCS",,,,,,,"facility","outpatient",,,"TC",,,"Devoted Health","Medicare Managed Care Plan","76.97",,,,,,,"fee schedule","76.97","163.18","APC"
"Dxa bone density axial","77080","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","43.65",,,,,,,"fee schedule","43.65","280.2",
"Dxa bone density axial","77080","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","61.18",,,,,,,"fee schedule","43.65","280.2",
"Dxa bone density study","77085","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","69.49",,,,,,,"fee schedule","57.91","280.2",
"Dxa bone density study","77085","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","63.87",,,,,,,"fee schedule","57.91","280.2",
"Dysequilibrium","149","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","8946.91",,,,,,,"fee schedule","7709.27","18415","MSDRG Base Rate"
"Dysequilibrium","149","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Humana","Medicare Managed Care Plan","12501.29",,,,,,,"fee schedule","7709.27","18415",
"E coli 0157 ag ia","87335","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","12.66",,,,,,,"fee schedule","9.5","26.84",
"E coli 0157 ag ia","87335","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","13.04",,,,,,,"fee schedule","9.5","26.84","APC"
"E coli 0157 ag ia","87335","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","17.99",,,,,,,"fee schedule","9.5","26.84",
"EIA HIV-1/HIV-2 screen","G0432","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","20.55",,,,,,,"fee schedule","14.68","41.49","APC"
"ESD endoscopy or colonoscopy","C9779","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","5405",,,,,,,"fee schedule","3011.79","11385",
"ESD endoscopy or colonoscopy","C9779","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","3895",,,,,,,"fee schedule","3011.79","11385",
"Ear cartilage graft","21235","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","2912","12588",
"Ear protector evaluation","92596","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","39.34",,,,,,,"fee schedule","37.46","79.42","APC"
"Ear, Nose, Mouth And Throat Malignancy Without Cc/Mcc","148","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Ambetter Health","Peach State Exchange",,,"[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [All Other IP (%BC): 70]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Ear, Nose, Mouth And Throat Malignancy Without Cc/Mcc","148","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Hmo/Pos",,,"[Stop Loss: Total Charges > 166953.75 | Total % of Charge: 65] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1376] [Psych-Per Diem: 1376] [Rehab-Per Diem: 3466] [SNF-Per Diem: 1762] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Ear, Nose, Mouth And Throat Malignancy Without Cc/Mcc","148","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos","16998.86",,,,,,,"fee schedule","8257.95","19263.59",
"Echo Transesophageal Intraop","93318","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","548.07",,,,,,,"fee schedule","548.07","1161.9","APC"
"Echo exam of abdomen","76705","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","109.94",,,,,,,"fee schedule","87.72","280.2",
"Echo exam of abdomen","76705","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","111.67",,,,,,,"fee schedule","87.72","280.2",
"Echo exam of eye water bath","76513","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","79.86",,,,,,,"fee schedule","63.72","280.2",
"Echo exam of eye","76516","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","105.91",,,,,,,"fee schedule","36.3","280.2","APC"
"Echo exam of eye","76516","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","36.3",,,,,,,"fee schedule","36.3","280.2",
"Echo exam of fetal heart","76828","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","33.58",,,,,,,"fee schedule","33.36","280.2",
"Echo exam uterus","76831","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","151.68",,,,,,,"fee schedule","121.02","582.6",
"Echo guide for heart biopsy","76932","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","88.57",,,,,,,"fee schedule","80.31","130.72",
"Echo guide ova aspiration","76948","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","104.57",,,,,,,"fee schedule","72.54","106.88",
"Echo transthoracic","93304","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","553.55",,,,,,,"fee schedule","548.07","1161.9","APC"
"Echograp trans r pros study","76873","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","280.2",,,,,,,"fee schedule","104.86","280.2",
"Ecmo Or Tracheostomy With Mv >96 Hours Or Principal Diagnosis Except Face, Mouth And Neck With Major","003","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","188799.82",,,,,,,"fee schedule","188799.82","454963.15","MSDRG Base Rate"
"Ecmo Or Tracheostomy With Mv >96 Hours Or Principal Diagnosis Except Face, Mouth And Neck With Major","003","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Medicare Managed Care Plan","188799.82",,,,,,,"fee schedule","188799.82","454963.15","MSDRG Base Rate"
"Ecmo/ecls repos perph cnula","33963","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","3011.79","5051.48",
"Ecmo/ecls rmvl perph cannula","33969","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","3011.79","5051.48",
"Ectopic Pregnancy","777","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Phcs","All Commercial Plans",,"70",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Eeg 41-60 minutes","95812","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","229.57",,,,,,,"fee schedule","216.58","459.14","APC"
"Eeg awake and asleep","95819","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","459.14",,,,,,,"fee schedule","216.58","459.14","APC"
"Eeg coma or sleep only","95822","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","459.14",,,,,,,"fee schedule","216.58","459.14","APC"
"Egd balloon dil esoph30 mm/>","43233","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1963.21",,,,,,,"fee schedule","1924.71","7750","APC"
"Egd control bleeding any","43255","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","5345.54",,,,,,,"fee schedule","1924.71","5345.54",
"Egd dilate stricture","43245","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","1924.71","5345.54",
"Egd endo mucosal resection","43254","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1924.71",,,,,,,"fee schedule","1924.71","6277","APC"
"Egd endoscopic stent place","43266","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","6689",,,,,,,"fee schedule","4419.21","12909.23",
"Egd esophagogastrc fndoplsty","43210","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","5611",,,,,,,"fee schedule","4743","22603.4",
"Egd flx transnasal bx 1/ml","0653T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","1924.71","7750",
"Egd flx transnasal tube/cath","0654T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","3905.8",,,,,,,"fee schedule","2912","10726","APC"
"Egd injection varices","43243","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","1924.71","5345.54",
"Egd lesion ablation","43270","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","7750",,,,,,,"fee schedule","1924.71","7750",
"Egd remove foreign body","43247","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","964.31",,,,,,,"fee schedule","909.73","5345.54","APC"
"Egd remove lesion snare","43251","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","4797",,,,,,,"fee schedule","1924.71","5345.54",
"Egd tube/cath insertion","43241","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","1924.71","5345.54",
"Egd tube/cath insertion","43241","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1924.71","5345.54",
"Egd us exam duodenum/jejunum","43259","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","5405",,,,,,,"fee schedule","1924.71","6293.23",
"Egd us exam duodenum/jejunum","43259","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","6277",,,,,,,"fee schedule","1924.71","6293.23",
"Egd us exam duodenum/jejunum","43259","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","5495",,,,,,,"fee schedule","1924.71","6293.23",
"Egd us fine needle bx/aspir","43238","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","1963.21",,,,,,,"fee schedule","1924.71","5345.54","APC"
"Egd us fine needle bx/aspir","43238","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","1924.71","5345.54",
"Egd varices ligation","43244","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","5345.54",,,,,,,"fee schedule","1924.71","5345.54",
"Egd w/transmural drain cyst","43240","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3600",,,,,,,"fee schedule","3295","12909.23",
"El-1 fecal quantitative","82653","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","22.97",,,,,,,"fee schedule","17.23","48.7","APC"
"Elbow arthroscopy","29830","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3281.9",,,,,,,"fee schedule","3281.9","9172","APC"
"Elec aly smp iins sp/sac nrv","0788T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","101.08",,,,,,,"fee schedule","95.36","202.16","APC"
"Elec alys cplx prgrmg iins","0590T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","98.22",,,,,,,"fee schedule","95.36","202.16","APC"
"Elec impd spectrsc 1+skn les","0658T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","59.17",,,,,,,"fee schedule","59.17","139.15","APC"
"Electric stimulation therapy","97014","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","21.85",,,,,,,"fee schedule","12.14","128",
"Electrical bone stimulation","20975","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1343",,,,,,,"fee schedule","1343","5345.54",
"Electro-uroflowmetry first","51741","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","218.74",,,,,,,"fee schedule","216.58","4840.09","APC"
"Electroejaculation","55870","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","2572",,,,,,,"fee schedule","923.84","4840.09",
"Electroejaculation","55870","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","923.84",,,,,,,"fee schedule","923.84","4840.09","APC"
"Electrogastrography","91132","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","223.07",,,,,,,"fee schedule","216.58","2572","APC"
"Electrolyte panel","80051","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","7.15",,,,,,,"fee schedule","5.26","14.86","APC"
"Ema each ig class","86231","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","21.76",,,,,,,"fee schedule","9.07","25.63",
"Emend: 1 Vial, Single-Dose In 1 Carton (0006-3061-00)  / 5 Ml In 1 Vial, Single-Dose (0006-3061-01)","106783_00006306100","CDM","636","RC","J1453","HCPCS","00006306100","NDC","facility","both","1","EA",,"9.32","9.32",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Emergency dept visit","99283","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","276.54",,,,,,,"fee schedule","273.8","580.46","APC"
"Encephalitis californ antbdy","86651","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","13.19",,,,,,,"fee schedule","9.89","27.96",
"End thxpy, anterior tooth","D3310","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","661.41",,,,,,,"fee schedule","648.44","1374.7","APC"
"Endo assay seven anal","81506","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","58.58",,,,,,,"fee schedule","51.69","146.11",
