IMP DEV JT ANKLE TOTAL LVL 19,6312276,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,65704.00000,18791.34000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,5663.34,,,,,,,2065.60,49278.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT ANKLE TOTAL LVL 19,6312276,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,65704.00000,18791.34000,United Healthcare,UHC Core,,33311.93,,,,,,,2065.60,49278.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 03,2774206,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,Blue Cross Blue Shield of Arizona,Commercial,,7079.18,,,,,,,2065.60,10421.25,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT ELBOW TOTAL LVL 05,2774230,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,"Health Choice Arizona, Inc.",ACA Health Plan,,10952.00,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 05,2774230,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,9856.80,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 07,6272728,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,"Health Choice Arizona, Inc.",ACA Health Plan,,15332.00,,,,,,,2065.60,22998.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 07,6272728,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,Banner University Health Plan,University Family Plan,,6868.74,,,,,,,2065.60,22998.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 08,6272736,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,Aetna,Broad Network,,19975.08,,,,,,,2065.60,26283.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 09,6272744,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,39424.00000,11275.26000,Aetna,Joint Venture,,17977.34,,,,,,,2065.60,29568.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 10,6272751,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,43804.00000,12527.94000,Provider Network of America,Commercial,,32853.00,,,,,,,19711.80,32853.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 11,6272769,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,48184.00000,13780.62000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,21682.80,,,,,,,21682.80,36138.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 12,6272777,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,52564.00000,15033.30000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,23653.80,,,,,,,23653.80,39423.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 12,6272777,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,"Health Choice Arizona, Inc.",ACA Health Plan,,26282.00,,,,,,,2065.60,39423.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 13,6272785,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,56944.00000,16285.98000,Provider Network of America,Commercial,,42708.00,,,,,,,2065.60,42708.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 13,6272785,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,56944.00000,16285.98000,United Healthcare,UHC Doctor's Plan,,27617.84,,,,,,,2065.60,42708.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 15,6272801,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,65704.00000,18791.34000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,36005.79,,,,,,,2065.60,49278.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 15,6272801,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,65704.00000,18791.34000,"Health Choice Arizona, Inc.",ACA Health Plan,,32852.00,,,,,,,2065.60,49278.00,percent of total billed charges,
IMP DEV JT ELBOW TOTAL LVL 15,6272801,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,65704.00000,18791.34000,Health Net,Medicaid,,14717.70,,,,,,,2065.60,49278.00,percent of total billed charges,
IMP DEV JT FINGER LVL 01,2774362,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,5663.34,,,,,,,977.00,7079.18,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT FINGER LVL 01,2774362,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,Health Net,Medicaid,,1094.24,,,,,,,977.00,7079.18,percent of total billed charges,
IMP DEV JT FINGER LVL 03,2774503,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,5309.38,,,,,,,2065.60,10421.25,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT FINGER LVL 03,2774503,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,Provider Network of America,Commercial,,10421.25,,,,,,,2065.60,10421.25,percent of total billed charges,
IMP DEV JT FINGER LVL 05,2774404,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,21904.00000,6264.54000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,12003.39,,,,,,,9856.80,16428.00,percent of total billed charges,
IMP DEV JT FNGR MCP LVL 01,6299226,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,1413.00000,404.12000,Banner University Health Plan,University Family Plan,,260.66,,,,,,,260.66,2395.33,fee schedule,
IMP DEV JT FNGR MCP LVL 02,6299234,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,1476.86,,,,,,,260.66,2395.33,percent of total billed charges,
IMP DEV JT FNGR MCP LVL 02,6299234,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,1078.00,,,,,,,260.66,2395.33,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
IMP DEV JT FNGR MCP LVL 03,6299242,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,United Healthcare,Commercial,,2057.50,,,,,,,260.66,2889.75,percent of total billed charges,
IMP DEV JT FNGR MCP LVL 03,6299242,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,United Healthcare,UHC Core,,1953.47,,,,,,,260.66,2889.75,percent of total billed charges,
IMP DEV JT FNGR MCP LVL 04,6299259,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,6105.00000,1746.03000,Aetna,Medicare Advantage,,1221.00,,,,,,,260.66,4578.75,percent of total billed charges,
IMP DEV JT FNGR MCP LVL 04,6299259,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,6105.00000,1746.03000,Blue Cross Blue Shield of Arizona,Commercial,,2395.33,,,,,,,260.66,4578.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT FNGR MCP LVL 05,6299267,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,"Health Choice Arizona, Inc.",Medicare Advantage,,2779.50,,,,,,,260.66,6948.75,percent of total billed charges,
IMP DEV JT FNGR MCP LVL 05,6299267,CDM,278,RC,L8630,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Aetna,Joint Venture,,4224.84,,,,,,,260.66,6948.75,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 01,2774511,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,594.00000,169.88000,Health Net,Medicaid,,133.06,,,,,,,118.80,7079.18,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 02,2774529,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,1132.00000,323.75000,"Cigna Healthcare of Arizona, Inc.",Commercial,,648.64,,,,,,,226.40,7079.18,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 03,2774537,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,1619.00000,463.03000,Quiktrip Corporation,Commercial,,874.26,,,,,,,323.80,7079.18,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 07,2774586,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,Aetna,Banner Employee Plans,,4668.72,,,,,,,2065.60,10421.25,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 07,2774586,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,5309.38,,,,,,,2065.60,10421.25,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT HIP TOTAL LVL 07,2774586,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,6252.75,,,,,,,2065.60,10421.25,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 08,2774594,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,17524.00000,5011.86000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,7885.80,,,,,,,7885.80,13143.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 08,2774594,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,17524.00000,5011.86000,Arizona Physicians IPA,Medicaid,,3925.38,,,,,,,2065.60,13143.00,percent of total billed charges,Rates may be adjusted for facility-specific peer groups and all other adjusters.
IMP DEV JT HIP TOTAL LVL 09,2774552,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,5309.38,,,,,,,2065.60,16428.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT HIP TOTAL LVL 10,2774602,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,26284.00000,7517.22000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,11827.80,,,,,,,11827.80,19713.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 10,2774602,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,Aetna,Joint Venture,,11985.50,,,,,,,2065.60,19713.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 11,2774610,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,"Health Choice Arizona, Inc.",Medicare Advantage,,9199.20,,,,,,,2065.60,22998.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 11,2774610,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,Aetna,Joint Venture,,13982.78,,,,,,,2065.60,22998.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 11,2774610,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,Arizona Medical Network,Commercial,,21464.80,,,,,,,2065.60,22998.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 12,2774628,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,Aetna,Qualified Health Plan,,7884.90,,,,,,,2065.60,26283.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 13,2774636,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Aetna,Designated Group,,21201.14,,,,,,,2065.60,32853.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 13,2774636,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,5309.38,,,,,,,2065.60,32853.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT HIP TOTAL LVL 14,2774644,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,52564.00000,15033.30000,Plotkin Health,Plotkin Health,,23653.80,,,,,,,23653.80,39423.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 14,2774644,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,Aetna,Banner Employee Plans,,17661.50,,,,,,,2065.60,39423.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 14,2774644,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,5946.47,,,,,,,2065.60,39423.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT HIP TOTAL LVL 14,2774644,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,2065.60,,,,,,,2065.60,39423.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
IMP DEV JT HIP TOTAL LVL 15,2774669,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,65704.00000,18791.34000,"Health Choice Arizona, Inc.",Medicaid,,14717.70,,,,,,,2065.60,49278.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 16,2774677,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,87604.00000,25054.74000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,48006.99,,,,,,,39421.80,65703.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 16,2774677,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,87604.00000,25054.74000,Health Net,Medicare,,43802.00,,,,,,,2065.60,65703.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 16,2774677,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,87604.00000,25054.74000,United Healthcare,Commercial,,46780.54,,,,,,,2065.60,65703.00,percent of total billed charges,
IMP DEV JT HIP TOTAL LVL 17,6277016,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,109504.00000,31318.14000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,7079.18,,,,,,,2065.60,82128.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT KNEE TOTAL LVL 02,6275945,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,2695.00000,770.77000,"Cigna Healthcare of Arizona, Inc.",Commercial,,1544.23,,,,,,,1212.75,2021.25,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 02,6275945,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,Health Net,Commerical Exchange Product,,1455.30,,,,,,,539.00,7079.18,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 02,6275945,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,Health Net,Commerical Exchange Product,,1455.30,,,,,,,539.00,7079.18,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 02,6275945,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,1212.75,,,,,,,539.00,7079.18,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 04,2774727,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Plotkin Health,Plotkin Health,,4169.25,,,,,,,1853.00,7079.18,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 06,2774743,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,17524.00000,5011.86000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,9603.15,,,,,,,2065.60,13143.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 07,2774750,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Aetna,Medicare Advantage,,4380.80,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 08,2774776,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,Aetna,Banner Employee Plans,,8831.42,,,,,,,2065.60,19713.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 10,2774792,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,Blue Cross Blue Shield of Arizona,Commercial,,7079.18,,,,,,,2065.60,26283.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT KNEE TOTAL LVL 11,2774800,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,39424.00000,11275.26000,Blue Cross Blue Shield of Arizona,Commercial,,7079.18,,,,,,,2065.60,29568.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT KNEE TOTAL LVL 11,2774800,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,39424.00000,11275.26000,Health Net,Medicaid,,8830.98,,,,,,,2065.60,29568.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 12,2774768,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,43804.00000,12527.94000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,24004.59,,,,,,,19711.80,32853.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 12,2774768,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,7079.18,,,,,,,2065.60,32853.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT KNEE TOTAL LVL 13,2774818,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,48184.00000,13780.62000,Health Net,Commerical Exchange Product,,26019.36,,,,,,,2065.60,36138.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 13,2774818,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,48184.00000,13780.62000,Health Net,Commerical Exchange Product,,26019.36,,,,,,,2065.60,36138.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 14,2774826,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,Aetna,Designated Group,,25440.98,,,,,,,2065.60,39423.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 14,2774826,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,Plotkin Health,Plotkin Health,,23653.80,,,,,,,2065.60,39423.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 15,2774719,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,56944.00000,16285.98000,Aetna,Medicare Advantage,,11388.80,,,,,,,2065.60,42708.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 16,2774834,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,61324.00000,17538.66000,Provider Network of America,Commercial,,45993.00,,,,,,,27595.80,45993.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 16,2774834,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,61324.00000,17538.66000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,24529.60,,,,,,,2065.60,45993.00,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
IMP DEV JT KNEE TOTAL LVL 18,2774859,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,78844.00000,22549.38000,Plotkin Health,Plotkin Health,,35479.80,,,,,,,2065.60,59133.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 19,2771616,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,87604.00000,25054.74000,Aetna,Medical Rental,,46167.31,,,,,,,39421.80,65703.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 19,2771616,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,87604.00000,25054.74000,Arizona Medical Network,Commercial,,61322.80,,,,,,,2065.60,65703.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 20,6271845,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,96364.00000,27560.10000,Aetna,Qualified Health Plan,,21681.90,,,,,,,2065.60,72273.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 21,6273627,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,109504.00000,31318.14000,Quiktrip Corporation,Commercial,,59132.16,,,,,,,49276.80,82128.00,percent of total billed charges,
IMP DEV JT KNEE TOTAL LVL 21,6273627,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,109504.00000,31318.14000,Oscar Health Plan,Commercial,,54752.00,,,,,,,2065.60,82128.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 01,6288088,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,594.00000,169.88000,Arizona Medical Network,Commercial,,415.80,,,,,,,267.30,445.50,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 01,6288088,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,594.00000,169.88000,United Healthcare,UHC Core,,301.16,,,,,,,118.80,7079.18,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 02,6288096,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,1413.00000,404.12000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,5309.38,,,,,,,282.60,7079.18,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT SHDR TOTAL LVL 05,2775286,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,"Health Choice Arizona, Inc.",Medicaid,,1094.24,,,,,,,977.00,7079.18,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 06,2775294,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,9265.00000,2649.79000,Aetna,Medical Rental,,4882.65,,,,,,,4169.25,6948.75,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 06,2775294,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,"Health Choice Arizona, Inc.",ACA Health Plan,,4632.50,,,,,,,1853.00,7079.18,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 06,2775294,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Aetna,Broad Network,,5281.05,,,,,,,1853.00,7079.18,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 08,2775310,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,17524.00000,5011.86000,Aetna,Joint Venture,,7990.94,,,,,,,2065.60,13143.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 08,2775310,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,17524.00000,5011.86000,Banner University Health Plan,University Family Plan,,3925.38,,,,,,,2065.60,13143.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 09,2775336,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Aetna,Joint Venture,,9988.22,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 09,2775336,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Mercy Care,Medicaid,,4906.50,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 10,2775344,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,Aetna,Qualified Health Plan,,5913.90,,,,,,,2065.60,19713.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 10,2775344,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,Quiktrip Corporation,Commercial,,14193.36,,,,,,,2065.60,19713.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 11,6273924,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,30664.00000,8769.90000,Quiktrip Corporation,Commercial,,16558.56,,,,,,,13798.80,22998.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 12,6273932,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,Aetna,Broad Network,,19975.08,,,,,,,2065.60,26283.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 14,6276281,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Arizona Medical Network,Commercial,,30662.80,,,,,,,2065.60,32853.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 15,6276299,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,48184.00000,13780.62000,Health Net,Medicaid,,10793.22,,,,,,,2065.60,36138.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 17,6298723,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,61324.00000,17538.66000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,5309.38,,,,,,,2065.60,45993.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT SHDR TOTAL LVL 17,6298723,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,61324.00000,17538.66000,Oscar Health Plan,Commercial,,30662.00,,,,,,,2065.60,45993.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 18,6298731,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,70084.00000,20044.02000,Arizona Medical Network,Commercial,,49058.80,,,,,,,2065.60,52563.00,percent of total billed charges,
IMP DEV JT SHDR TOTAL LVL 19,6311914,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,78844.00000,22549.38000,Aetna,Designated Group,,38160.50,,,,,,,2065.60,59133.00,percent of total billed charges,
IMP DEV JT TOE LVL 01,2775468,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,United Healthcare,UHC Core,,2476.70,,,,,,,977.00,7079.18,percent of total billed charges,
IMP DEV JT TOE LVL 02,2775476,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,9265.00000,2649.79000,Aetna,Medical Rental,,4882.65,,,,,,,4169.25,6948.75,percent of total billed charges,
IMP DEV JT TOE LVL 02,2775476,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Plotkin Health,Plotkin Health,,4169.25,,,,,,,1853.00,7079.18,percent of total billed charges,
