VAD RPL ANY SHOWER COVER 0-12,6293963,CDM,274,RC,Q0501,HCPCS,,,facility,outpatient,,,2304.00000,889.34000,Banner University Health Plan,AZ Medicaid - AHCCCS,RA,387.89,,,,,,,387.89,3564.53,fee schedule,
VAD RPL ANY SHOWER COVER 0-12,6293963,CDM,274,RC,Q0501,HCPCS,,,facility,outpatient,,,2304.00000,889.34000,Oscar Health Plan,Commercial,RA,1152.00,,,,,,,387.89,3564.53,percent of total billed charges,
VAD RPL ANY SHOWER COVER 12+,6294284,CDM,274,RC,Q0501,HCPCS,,,facility,inpatient,,,2304.00000,889.34000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,1036.80,,,,,,,1036.80,1728.00,percent of total billed charges,
VAD RPL BATTERY CHGR 12+,6294177,CDM,274,RC,Q0495,HCPCS,,,facility,outpatient,,,24580.00000,9487.88000,United Healthcare,Commercial,,13125.72,,,,,,,3172.62,29155.10,percent of total billed charges,
VAD RPL BATTERY LI-ION 11V 0-6,6294896,CDM,274,RC,Q0506,HCPCS,,,facility,outpatient,,,2416.00000,932.58000,Aetna,Banner Employee Plans,RA,811.78,,,,,,,483.20,5384.44,percent of total billed charges,
VAD RPL BATTERY LI-ION 11V 0-6,6294896,CDM,274,RC,Q0506,HCPCS,,,facility,outpatient,,,2416.00000,932.58000,Banner University Health Plan,AZ Medicaid - AHCCCS,RA,648.75,,,,,,,483.20,5384.44,fee schedule,
VAD RPL BATTERY LI-ION 11V 0-6,6294896,CDM,274,RC,Q0506,HCPCS,,,facility,outpatient,,,2416.00000,932.58000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,RA,1571.10,,,,,,,483.20,5384.44,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
VAD RPL BATTERY LI-ION 11V 0-6,6294896,CDM,274,RC,Q0506,HCPCS,,,facility,outpatient,,,2416.00000,932.58000,Health Net,Medicare,RA,1208.00,,,,,,,483.20,5384.44,percent of total billed charges,
VAD RPL CABLE PWR AUTO DC 0-12,6294854,CDM,274,RC,Q0478,HCPCS,,,facility,outpatient,,,1176.00000,453.94000,Aetna,Broad Network,RA,678.55,,,,,,,139.58,26239.58,percent of total billed charges,
VAD RPL CABLE PWR MOD DL 0-12,6308894,CDM,274,RC,Q0508,HCPCS,,,facility,outpatient,,,18117.00000,6993.16000,Aetna,Medical Rental,RA,9547.66,,,,,,,119.60,13587.75,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
VAD RPL CABLE PWR MOD DL 0-12,6308894,CDM,274,RC,Q0508,HCPCS,,,facility,outpatient,,,18117.00000,6993.16000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,RA,409.89,,,,,,,119.60,13587.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VAD RPL CABLE PWR MOD DL 0-12,6308894,CDM,274,RC,Q0508,HCPCS,,,facility,outpatient,,,18117.00000,6993.16000,Quiktrip Corporation,Commercial,RA,9783.18,,,,,,,119.60,13587.75,percent of total billed charges,
VAD RPL CABLE PWR MOD DL 12+,6308902,CDM,274,RC,Q0508,HCPCS,,,facility,outpatient,,,18117.00000,6993.16000,Aetna,Banner Employee Plans,,6087.31,,,,,,,119.60,13587.75,percent of total billed charges,
VAD RPL CABLE PWR MOD PT 0-12,6302376,CDM,274,RC,Q0477,HCPCS,,,facility,outpatient,,,3975.00000,1534.35000,Aetna,Broad Network,RA,2293.57,,,,,,,781.48,2981.25,percent of total billed charges,
VAD RPL CABLE PWR MOD PT 12+,6302384,CDM,274,RC,Q0477,HCPCS,,,facility,outpatient,,,3975.00000,1534.35000,Arizona Physicians IPA,Medicaid,RA,890.40,,,,,,,781.48,2981.25,percent of total billed charges,Rates may be adjusted for facility-specific peer groups and all other adjusters.
VAD RPL CABLE PWR MOD PT 12+,6302384,CDM,274,RC,Q0477,HCPCS,,,facility,outpatient,,,3975.00000,1534.35000,Plotkin Health,Plotkin Health,RA,1788.75,,,,,,,781.48,2981.25,percent of total billed charges,
VAD RPL E-E/P BATTERY NONLITH 6+,6294219,CDM,274,RC,Q0496,HCPCS,,,facility,outpatient,,,2934.00000,1132.52000,Aetna,Joint Venture,,1355.51,,,,,,,586.80,9137.96,percent of total billed charges,
VAD RPL E-E/P BTRY LI-ION EA 6+,6302038,CDM,274,RC,Q0506,HCPCS,,,facility,inpatient,,,2401.00000,926.79000,"Cigna Healthcare of Arizona, Inc.",Commercial,,1375.77,,,,,,,1080.45,1800.75,percent of total billed charges,
VAD RPL E-E/P BTRY LI-ION EA 6+,6302038,CDM,274,RC,Q0506,HCPCS,,,facility,outpatient,,,2401.00000,926.79000,United Healthcare,UHC Core,,1217.31,,,,,,,480.20,5384.44,percent of total billed charges,
VAD RPL E-E/P HOLSTER 0-12,6293922,CDM,274,RC,Q0498,HCPCS,,,facility,outpatient,,,2214.00000,854.60000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,RA,2688.91,,,,,,,390.15,3585.21,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VAD RPL E-E/P HOLSTER 0-12,6293922,CDM,274,RC,Q0498,HCPCS,,,facility,outpatient,,,2214.00000,854.60000,United Healthcare,UHC Core,RA,1122.50,,,,,,,390.15,3585.21,percent of total billed charges,
VAD RPL E/P BATTERY CLIPS 0-12,6293914,CDM,274,RC,Q0497,HCPCS,,,facility,outpatient,,,4694.00000,1811.88000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,RA,2360.92,,,,,,,355.57,3520.50,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VAD RPL E/P BATTERY CLIPS 12+,6294227,CDM,274,RC,Q0497,HCPCS,,,facility,outpatient,,,4694.00000,1811.88000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,861.10,,,,,,,355.57,3520.50,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
VAD RPL ELC MICROPROC CU SYS 12+,6294193,CDM,274,RC,Q0481,HCPCS,,,facility,inpatient,,,15363.00000,5930.12000,Aetna,Medical Rental,,8096.30,,,,,,,6913.35,11522.25,percent of total billed charges,
VAD RPL ELC MICROPROC CU SYS 12+,6294193,CDM,274,RC,Q0481,HCPCS,,,facility,outpatient,,,15363.00000,5930.12000,Blue Cross Blue Shield of Arizona,Commercial,,91601.78,,,,,,,3072.60,91601.78,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VALVOTOMY MITRAL HEART CLOSED,4802518,CDM,361,RC,33420,CPT,,,facility,outpatient,,,10376.00000,3714.61000,Blue Cross Blue Shield of Arizona,Commercial,,13084.95,,,,,,,936.00,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VALVULOPLASTY BLN AORTA PERC,4803524,CDM,361,RC,92986,CPT,,,facility,outpatient,,,10764.00000,3853.51000,Arizona Physicians IPA,Medicare Advantage,,6076.79,,,,,,,3593.71,25369.04,fee schedule,
VALVULOPLASTY BLN AORTA PERC,4803524,CDM,361,RC,92986,CPT,,,facility,outpatient,,,10764.00000,3853.51000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,25369.04,,,,,,,3593.71,25369.04,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VALVULOPLASTY BLN AORTA PERC,4803524,CDM,361,RC,92986,CPT,,,facility,outpatient,,,10764.00000,3853.51000,Devoted Health Services,Medicare Advantage,,6380.63,,,,,,,3593.71,25369.04,fee schedule,
VALVULOPLASTY BLN AORTA PERC,4803524,CDM,361,RC,92986,CPT,,,facility,outpatient,,,10764.00000,3853.51000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,4843.80,,,,,,,3593.71,25369.04,percent of total billed charges,
VALVULOPLASTY BLN AORTA PERC,4803524,CDM,361,RC,92986,CPT,,,facility,outpatient,,,10764.00000,3853.51000,United Healthcare,Individual Exchange,,8507.51,,,,,,,3593.71,25369.04,fee schedule,
VALVULOPLASTY BLN MITRAL PERC,4803490,CDM,361,RC,92987,CPT,,,facility,outpatient,,,10859.00000,3887.52000,"Health Choice Arizona, Inc.",Medicare Advantage,,12087.01,,,,,,,4886.55,25369.04,fee schedule,
VALVULOPLASTY BLN PULMONARY PERC,4802575,CDM,361,RC,92990,CPT,,,facility,outpatient,,,10943.00000,3917.59000,Gold Kidney Health Plan,Medicare Advantage,,13295.71,,,,,,,4924.35,25369.04,fee schedule,
VASOGRAM S&I,3225380,CDM,320,RC,74440,CPT,,,facility,outpatient,,,702.00000,197.96000,Arizona Medical Network,Commercial,,491.40,,,,,,,124.94,1165.03,percent of total billed charges,
VASOGRAM S&I,3228772,CDM,320,RC,74440,CPT,,,facility,outpatient,,,702.00000,197.96000,"Health Choice Arizona, Inc.",ACA Health Plan,,386.44,,,,,,,124.94,1165.03,fee schedule,
VASOGRAM S&I,3228772,CDM,320,RC,74440,CPT,,,facility,outpatient,,,702.00000,197.96000,UPMC Health Plan,Medicare Advantage,,257.63,,,,,,,124.94,1165.03,fee schedule,
VEL&/FLW DOPP INTRAV VSL ADDL RDC,4819363,CDM,481,RC,93572,CPT,,,facility,outpatient,,,2888.00000,765.32000,Aetna,Medicare Advantage,52,577.60,,,,,,,577.60,13766.00,percent of total billed charges,
VEL&/FLW DOPP INTRAV VSL ADDL,4801551,CDM,481,RC,93572,CPT,,,facility,outpatient,,,2888.00000,765.32000,Aetna,Broad Network,,1666.38,,,,,,,577.60,13766.00,percent of total billed charges,
VEL&/FLW DOPP INTRAV VSL ADDL,4801551,CDM,481,RC,93572,CPT,,,facility,outpatient,,,2888.00000,765.32000,Oscar Health Plan,Commercial,,1444.00,,,,,,,577.60,13766.00,percent of total billed charges,
VEL&/FLW DOPP INTRAV VSL INIT RDC,4819355,CDM,481,RC,93571,CPT,,,facility,inpatient,,,4812.00000,1275.18000,Provider Network of America,Commercial,52,3609.00,,,,,,,2165.40,3609.00,percent of total billed charges,
VEL&/FLW DOPP INTRAV VSL INIT RDC,4819355,CDM,481,RC,93571,CPT,,,facility,outpatient,,,4812.00000,1275.18000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,52,1924.80,,,,,,,962.40,13766.00,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
VEL&/FLW DOPP INTRAV VSL INIT,4801569,CDM,481,RC,93571,CPT,,,facility,inpatient,,,4812.00000,1275.18000,Plotkin Health,Plotkin Health,,2165.40,,,,,,,2165.40,3609.00,percent of total billed charges,
VEL&/FLW DOPP IVAS VSL WO DRUG INT,4820643,CDM,481,RC,93799,CPT,,,facility,outpatient,,,4812.00000,1275.18000,Quiktrip Corporation,Commercial,,2598.48,,,,,,,101.17,13766.00,percent of total billed charges,
VEL&/FLW DOPP IVAS VSL WO DRUG INT,4820643,CDM,481,RC,93799,CPT,,,facility,outpatient,,,4812.00000,1275.18000,United Healthcare,Commercial,,2326.00,,,,,,,101.17,13766.00,case rate,
VEL&/FLW DOPP IVAS VSL WO DRUG MULT,4820650,CDM,481,RC,93799,CPT,,,facility,outpatient,,,8662.00000,2295.43000,"Health Choice Arizona, Inc.",Medicare Advantage,,166.76,,,,,,,101.17,13766.00,fee schedule,
VEL&/FLW DOPP IVAS VSL WO DRUG MULT,4820650,CDM,481,RC,93799,CPT,,,facility,outpatient,,,8662.00000,2295.43000,Aetna,Medical Rental,,4564.87,,,,,,,101.17,13766.00,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
VEL&/FLW DOPP IVAS VSL WO DRUG MULT,4820650,CDM,481,RC,93799,CPT,,,facility,outpatient,,,8662.00000,2295.43000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,381.62,,,,,,,101.17,13766.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VELOCIMETRY DOPPLER ART CERE FETAL,4033452,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,Arizona Medical Network,Commercial,,279.30,,,,,,,59.56,551.65,percent of total billed charges,
VELOCIMETRY DOPPLER ART CERE FETAL,4033452,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,153.09,,,,,,,59.56,551.65,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VELOCIMETRY DOPPLER ART CERE FETAL,4033494,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,Arizona Physicians IPA,Medicaid,,79.00,,,,,,,59.56,551.65,case rate,
VELOCIMETRY DOPPLER ART CERE FETAL,4033494,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,Banner Health,Medicare Advantage,,113.34,,,,,,,59.56,551.65,fee schedule,
VELOCIMETRY DOPPLER ART CERE FETAL,4033494,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,Banner Health,Medicare Advantage,,113.34,,,,,,,59.56,551.65,fee schedule,
VELOCIMETRY DOPPLER ART CERE FETAL,4033494,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,Plotkin Health,Plotkin Health,,179.55,,,,,,,59.56,551.65,percent of total billed charges,
VELOCIMETRY DOPPLER ART CERE FETAL,4033494,CDM,402,RC,76821,CPT,,,facility,outpatient,,,399.00000,139.25000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,59.56,551.65,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
VELOCIMETRY DOPPLER ART UMB FETAL,4033445,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,95.77,,,,,,,33.27,551.65,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VELOCIMETRY DOPPLER ART UMB FETAL,4033445,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Health Net,Medicaid,,79.00,,,,,,,33.27,551.65,case rate,
VELOCIMETRY DOPPLER ART UMB FETAL,4033445,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Wellpoint,Medicare Advantage HMO,,113.34,,,,,,,33.27,551.65,fee schedule,
VELOCIMETRY DOPPLER ART UMB FETAL,4033445,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Wellpoint,Medicare Advantage HMO,,113.34,,,,,,,33.27,551.65,fee schedule,
VELOCIMETRY DOPPLER ART UMB FETAL,4033486,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,85.51,,,,,,,33.27,551.65,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VELOCIMETRY DOPPLER ART UMB FETAL,4033486,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Wellpoint,Medicare Advantage HMO,,113.34,,,,,,,33.27,551.65,fee schedule,
VELOCIMETRY DOPPLER ART UMB FETAL,4033486,CDM,402,RC,76820,CPT,,,facility,outpatient,,,390.00000,136.11000,Wellpoint,Medicare Advantage HMO,,113.34,,,,,,,33.27,551.65,fee schedule,
VENIPUNCTURE FEM/JUG HCP 0-2YRS,3253259,CDM,361,RC,36400,CPT,,,facility,outpatient,,,51.00000,18.26000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,131.79,,,,,,,10.20,156.89,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM ADRENAL SEL BI S&I,3225406,CDM,320,RC,75842,CPT,,,facility,inpatient,,,4343.00000,1224.73000,Plotkin Health,Plotkin Health,,1954.35,,,,,,,1954.35,3257.25,percent of total billed charges,
VENOGRAM ADRENAL SEL LT S&I,3225554,CDM,320,RC,75840,CPT,,,facility,outpatient,,,3560.00000,1003.92000,United Healthcare,UHC Doctor's Plan,LT,12286.55,,,,,,,117.06,14487.17,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Radiology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
VENOGRAM ADRENAL SEL RT S&I,3225562,CDM,320,RC,75840,CPT,,,facility,outpatient,,,3560.00000,1003.92000,Provider Network of America,Commercial,RT,2670.00,,,,,,,117.06,14487.17,percent of total billed charges,
VENOGRAM EPIDURAL S&I,3225414,CDM,320,RC,75872,CPT,,,facility,outpatient,,,2756.00000,777.19000,Gila River Health Care Corporation,Managed Care Program,,658.95,,,,,,,117.06,2741.96,fee schedule,
VENOGRAM EPIDURAL S&I,3225414,CDM,320,RC,75872,CPT,,,facility,outpatient,,,2756.00000,777.19000,United Healthcare,Commercial,,2741.96,,,,,,,117.06,2741.96,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Radiology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
VENOGRAM EXTREMITY BI S&I,3225448,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Aetna,Joint Venture,,1054.28,,,,,,,102.54,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY BI S&I,3225448,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Arizona Medical Network,Commercial,,1597.40,,,,,,,102.54,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY BI S&I,3225448,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,NaphCare,Federal,,2235.18,,,,,,,102.54,7118.60,fee schedule,
VENOGRAM EXTREMITY BI S&I,3228830,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Aetna,Joint Venture,,1054.28,,,,,,,102.54,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY BI S&I,3228830,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Kaiser Foundation Health Plan,Medicare Advantage,,1655.69,,,,,,,102.54,7118.60,fee schedule,
VENOGRAM EXTREMITY BI S&I,3228830,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Kaiser Foundation Health Plan,Medicare Advantage,,1655.69,,,,,,,102.54,7118.60,fee schedule,
VENOGRAM EXTREMITY BI S&I,4802385,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,"Health Choice Arizona, Inc.",ACA Health Plan,,2483.53,,,,,,,102.54,7118.60,fee schedule,
VENOGRAM EXTREMITY BI S&I,4802385,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Plotkin Health,Plotkin Health,,1026.90,,,,,,,102.54,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY BI S&I,4806600,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,"Health Choice Arizona, Inc.",Medicaid,,1019.45,,,,,,,102.54,7118.60,fee schedule,
VENOGRAM EXTREMITY BI S&I,4806600,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,Arizona Physicians IPA,Medicaid,,1019.45,,,,,,,102.54,7118.60,fee schedule,Rates may be adjusted for facility-specific peer groups and all other adjusters.
VENOGRAM EXTREMITY BI S&I,4806600,CDM,320,RC,75822,CPT,,,facility,outpatient,,,2282.00000,643.52000,United Healthcare,UHC Core,,6577.03,,,,,,,102.54,7118.60,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Radiology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
VENOGRAM EXTREMITY LT S&I,3225422,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Banner University Health Plan,University Family Plan,LT,1019.45,,,,,,,92.64,7118.60,fee schedule,
VENOGRAM EXTREMITY LT S&I,4804209,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Aetna,Joint Venture,LT,900.90,,,,,,,92.64,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY LT S&I,4804209,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Mercy Care,Medicaid,LT,1019.45,,,,,,,92.64,7118.60,fee schedule,
VENOGRAM EXTREMITY LT S&I,4806584,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Mercy Care,Medicaid,LT,1019.45,,,,,,,92.64,7118.60,fee schedule,
VENOGRAM EXTREMITY RT S&I,3225430,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,RT,1281.15,,,,,,,92.64,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY RT S&I,3225430,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Aetna,Designated Group,RT,957.45,,,,,,,92.64,7118.60,percent of total billed charges,
VENOGRAM EXTREMITY RT S&I,3228822,CDM,320,RC,75820,CPT,,,facility,inpatient,,,1950.00000,549.90000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,RT,877.50,,,,,,,877.50,1462.50,percent of total billed charges,
VENOGRAM EXTREMITY RT S&I,4804217,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Banner University Health Plan,AZ Medicaid - AHCCCS,RT,1019.45,,,,,,,92.64,7118.60,fee schedule,
VENOGRAM EXTREMITY RT S&I,4806592,CDM,320,RC,75820,CPT,,,facility,outpatient,,,1950.00000,549.90000,Banner University Health Plan,AZ Medicaid - AHCCCS,RT,1019.45,,,,,,,92.64,7118.60,fee schedule,
VENOGRAM HEPATIC W EVAL HEMO S&I,3225455,CDM,320,RC,75889,CPT,,,facility,inpatient,,,4923.00000,1388.29000,Plotkin Health,Plotkin Health,,2215.35,,,,,,,2215.35,3692.25,percent of total billed charges,
VENOGRAM HEPATIC W EVAL HEMO S&I,3225455,CDM,320,RC,75889,CPT,,,facility,outpatient,,,4923.00000,1388.29000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,3354.67,,,,,,,112.90,14487.17,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
VENOGRAM HEPATIC W EVAL HEMO S&I,4809059,CDM,320,RC,75889,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Aetna,Qualified Health Plan,,4562.35,,,,,,,112.90,14487.17,fee schedule,
VENOGRAM HEPATIC W EVAL HEMO S&I,4809059,CDM,320,RC,75889,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,386.94,,,,,,,112.90,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM IVC SERIAL S&I,3225471,CDM,320,RC,75825,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,247.49,,,,,,,96.29,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM IVC SERIAL S&I,4802401,CDM,320,RC,75825,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Arizona Physicians IPA,Medicare Advantage,,3354.67,,,,,,,96.29,14487.17,fee schedule,
VENOGRAM IVC SERIAL S&I,4802401,CDM,320,RC,75825,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Gold Kidney Health Plan,Medicare Advantage,,3690.14,,,,,,,96.29,14487.17,fee schedule,
VENOGRAM IVC SERIAL S&I,4802401,CDM,320,RC,75825,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Mercy Care,Medicaid,,2074.70,,,,,,,96.29,14487.17,fee schedule,
VENOGRAM IVC SERIAL S&I,4802401,CDM,320,RC,75825,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Mercy Care,Mercy Care Advantage,,3354.67,,,,,,,96.29,14487.17,fee schedule,
VENOGRAM IVC SERIAL S&I,4802401,CDM,320,RC,75825,CPT,,,facility,outpatient,,,4923.00000,1388.29000,NaphCare,Federal,,4528.80,,,,,,,96.29,14487.17,fee schedule,
VENOGRAM ORBITAL S&I,3225497,CDM,320,RC,75880,CPT,,,facility,inpatient,,,2310.00000,651.42000,Aetna,Medical Rental,,1217.37,,,,,,,1039.50,1732.50,percent of total billed charges,
VENOGRAM ORBITAL S&I,3225497,CDM,320,RC,75880,CPT,,,facility,outpatient,,,2310.00000,651.42000,Arizona Medical Network,Commercial,,1617.00,,,,,,,116.55,2741.96,percent of total billed charges,
VENOGRAM RENAL SEL BI S&I,3225505,CDM,320,RC,75833,CPT,,,facility,outpatient,,,4393.00000,1238.83000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,123.83,14487.17,fee schedule,
VENOGRAM RENAL SEL BI S&I,3225505,CDM,320,RC,75833,CPT,,,facility,outpatient,,,4393.00000,1238.83000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,123.83,14487.17,fee schedule,
VENOGRAM RENAL SEL BI S&I,4802492,CDM,320,RC,75833,CPT,,,facility,inpatient,,,4393.00000,1238.83000,Quiktrip Corporation,Commercial,,2372.22,,,,,,,1976.85,3294.75,percent of total billed charges,
VENOGRAM RENAL SEL BI S&I,4802492,CDM,320,RC,75833,CPT,,,facility,outpatient,,,4393.00000,1238.83000,"Cigna Healthcare of Arizona, Inc.",Commercial,,3017.99,,,,,,,123.83,14487.17,percent of total billed charges,
VENOGRAM RENAL SEL LT S&I,3225513,CDM,320,RC,75831,CPT,,,facility,outpatient,,,3660.00000,1032.12000,"Cigna Healthcare of Arizona, Inc.",Commercial,LT,2514.42,,,,,,,107.16,14487.17,percent of total billed charges,
VENOGRAM RENAL SEL LT S&I,3225513,CDM,320,RC,75831,CPT,,,facility,outpatient,,,3660.00000,1032.12000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,LT,293.81,,,,,,,107.16,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM RENAL SEL RT S&I,3225521,CDM,320,RC,75831,CPT,,,facility,outpatient,,,3660.00000,1032.12000,"Health Choice Arizona, Inc.",ACA Health Plan,RT,1830.00,,,,,,,107.16,14487.17,percent of total billed charges,
VENOGRAM RENAL SEL RT S&I,3225521,CDM,320,RC,75831,CPT,,,facility,outpatient,,,3660.00000,1032.12000,United Healthcare,UHC Core,RT,13389.06,,,,,,,107.16,14487.17,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Radiology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
