"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANY JOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; WITH DIRECT CLOSURE",360,RC,26951,CPT,,,,,facility,outpatient,,,,,Blue Cross Blue Shield,City of Dallas,,8787.21,,,,,,,1088.27,9772.70,case rate,Multiple procedure logic: 100/50/0
"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANY JOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; WITH LOCAL ADVANCEMENT FLAPS (V-Y, HOOD)",360,RC,26952,CPT,,,,,facility,outpatient,,,,,Baylor Scott & White Health Plan,BSW Premier - Small Group,,3944.29,,,,,,,1088.27,9772.70,fee schedule,
"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANY JOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; WITH LOCAL ADVANCEMENT FLAPS (V-Y, HOOD)",360,RC,26952,CPT,,,,,facility,outpatient,,,,,WellPoint (fka Amerigroup),CHIP/Medicaid,,1088.27,,,,,,,1088.27,9772.70,fee schedule,Some rates may differ based on patient age.
"AMPUTATION, FOOT; TRANSMETATARSAL",360,RC,28805,CPT,,,,,facility,outpatient,,,,,Molina,Medicare Advantage,,3451.26,,,,,,,3122.56,9772.70,fee schedule,
"AMPUTATION, LEG, THROUGH TIBIA AND FIBULA;",360,RC,27880,CPT,,,,,facility,outpatient,,,,,Blue Cross Blue Shield,Blue Premier/High Performance Network/My BlueHealth,,2265.31,,,,,,,1601.83,17847.00,case rate,Multiple procedure logic: 100/50/0
"AMPUTATION, METATARSAL, WITH TOE, SINGLE",360,RC,28810,CPT,,,,,facility,outpatient,,,,,United Healthcare,Charter,,4302.00,,,,,,,1088.27,9772.70,case rate,Multi proc logic: 100/50/25/0
"AMPUTATION, THIGH, THROUGH FEMUR, ANY LEVEL; SECONDARY CLOSURE OR SCAR REVISION",360,RC,27594,CPT,,,,,facility,outpatient,,,,,Baylor Scott & White Health Plan,BSW Premier - Small Group,,3944.29,,,,,,,1088.27,9772.70,fee schedule,
"AMPUTATION, THIGH, THROUGH FEMUR, ANY LEVEL; SECONDARY CLOSURE OR SCAR REVISION",360,RC,27594,CPT,,,,,facility,outpatient,,,,,TriWest,Community Care Network,,3286.91,,,,,,,1088.27,9772.70,fee schedule,
"AMPUTATION, THIGH, THROUGH FEMUR, ANY LEVEL; SECONDARY CLOSURE OR SCAR REVISION",360,RC,27594,CPT,,,,,facility,outpatient,,,,,United Healthcare,Charter,,4302.00,,,,,,,1088.27,9772.70,case rate,Multi proc logic: 100/50/25/0
"AMPUTATION, THIGH, THROUGH FEMUR, ANY LEVEL;",360,RC,27590,CPT,,,,,facility,outpatient,,,,,Blue Cross Blue Shield,City of Dallas,,2654.99,,,,,,,1397.80,17847.00,case rate,Multiple procedure logic: 100/50/0
"AMPUTATION, TOE; INTERPHALANGEAL JOINT",360,RC,28825,CPT,,,,,facility,outpatient,,,,,Cigna,HMO/PPO,,4779.00,,,,,,,1088.27,9772.70,case rate,Multiple procedure logic: 100/50/25
"AMPUTATION, TOE; METATARSOPHALANGEAL JOINT",360,RC,28820,CPT,,,,,facility,outpatient,,,,,Baylor Scott & White Health Plan,BSW Plus - Small Group,,5423.40,,,,,,,1088.27,9772.70,fee schedule,
"AMPUTATION, TOE; METATARSOPHALANGEAL JOINT",360,RC,28820,CPT,,,,,facility,outpatient,,,,,Baylor Scott & White Health Plan,Medicare Advantage,,3122.56,,,,,,,1088.27,9772.70,fee schedule,
"ANOPLASTY, PLASTIC OPERATION FOR STRICTURE; ADULT",360,RC,46700,CPT,,,,,facility,outpatient,,,,,Prime Health Services,Worker's Compensation,,3516.06,,,,,,,939.93,8368.72,fee schedule,"If no implant invoices are submitted, reimbursement reverts to 194% of OPPS."
"ANORECTAL EXAM, SURGICAL, REQUIRING ANESTHESIA (GENERAL, SPINAL, OR EPIDURAL), DIAGNOSTIC",360,RC,45990,CPT,,,,,facility,outpatient,,,,,Superior Health Plan,Medicaid,,939.93,,,,,,,939.93,8368.72,fee schedule,Some rates may differ based on patient age.
"ANORECTAL EXAM, SURGICAL, REQUIRING ANESTHESIA (GENERAL, SPINAL, OR EPIDURAL), DIAGNOSTIC",360,RC,45990,CPT,,,,,facility,outpatient,,,,,United Healthcare,Medicare Advantage,,3122.91,,,,,,,939.93,8368.72,fee schedule,
"ANORECTAL EXAM, SURGICAL, REQUIRING ANESTHESIA (GENERAL, SPINAL, OR EPIDURAL), DIAGNOSTIC",360,RC,45990,CPT,,,,,facility,outpatient,,,,,University of Mary Hardin-Baylor,Commercial,,,60.00,,,,,0,939.93,8368.72,percent of total billed charges,"Not to exceed $14,226.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"ANOSCOPY; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHNIQUE",360,RC,46615,CPT,,,,,facility,outpatient,,,,,Superior Ambetter,Ambetter Exchange,,5994.87,,,,,,,939.93,8368.72,fee schedule,
"ANOSCOPY; WITH BIOPSY, SINGLE OR MULTIPLE",360,RC,46606,CPT,,,,,facility,outpatient,,,,,Imagine Health,Commercial,,,60.00,,,,,0,201.27,8280.00,percent of total billed charges,"100/50/25 Multiple procedure logic; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"ANOSCOPY; WITH BIOPSY, SINGLE OR MULTIPLE",750,RC,46606,CPT,,,,,facility,outpatient,,,,,HealthSpring,Medicare Advantage,,1262.19,,,,,,,201.27,8280.00,fee schedule,
