"ANCHOR KNEE 1.1X13MM CONTOUR MENISCUS ARROW COPOLYMER BIOABSORBABLE . OD - DISCONTINUED PER SUPPLIER/CONTRACTS","SUP-ITM-10028828","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","580.44","435.33","INTERNATIONAL COMMERCIAL [140001]","HB AMC UNITED PPO / POS","474.34","81.72","","6174.52","3163.80","6174.52","1 through 10","290.22","474.34","percent of total billed charges",""
"ANCHOR SURGICAL 1.8MM Q FIX SUTURE","SUP-ITM-10124147","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","962.50","721.87","AETNA [1001]","HB AMC AETNA PPO","773.85","80.4","","605.12","103.74","1144.45","103","481.25","786.56","percent of total billed charges",""
"ANCHOR SUTURE 1.4MM ARTHROSCOPY NANOTACK PLUS FLEXIBLE INSERTER","SUP-ITM-10190887","CDM","C1713","HCPCS","0278","RC","","","","both","","","1570.73","1178.05","CIGNA ALTERNATE [1018]","HB AMC CIGNA NEW BUSINESS DISCOUNT","837.20","53.3","","610.80","79.76","2075.55","343","486.93","1248.73","percent of total billed charges",""
"ANCHOR SUTURE 1.4MM ARTHROSCOPY NANOTACK PLUS FLEXIBLE INSERTER","SUP-ITM-10190887","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","1570.73","1178.05","INTERNATIONAL COMMERCIAL [140001]","HB AMC AETNA PPO","1262.87","80.4","","1358.66","68.25","2660.13","20","785.37","1283.6","percent of total billed charges",""
"ANCHOR SUTURE 1.4MM ARTHROSCOPY NANOTACK PLUS FLEXIBLE INSERTER","SUP-ITM-10190887","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","1570.73","1178.05","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","1283.60","81.72","","590.85","590.85","590.85","41","785.37","1283.6","percent of total billed charges",""
"ANCHOR SUTURE 13.8MM ARTHROSCOPY HEALIX TITANIUM ORTHOCORD","SUP-ITM-10148712","CDM","C1713","HCPCS","0278","RC","","","","both","","","1274.00","955.50","CIGNA ALTERNATE [1018]","HB AMC CIGNA NEW BUSINESS DISCOUNT","679.04","53.3","","610.80","79.76","2075.55","343","394.94","1012.83","percent of total billed charges",""
"ANCHOR SUTURE 19.1X5.5MM ARTHROSCOPY SWIVELOCK BIOCOMPOSITE VENTED CLOSED EYELET BX/5EA","SUP-ITM-10078785","CDM","C1713","HCPCS","0278","RC","","","","both","","","1400.00","1050.00","HEALTH NEW ENGLAND [1034]","HB AMC CLARITEV (PRIMARY PPO)","1078.00","77","","583.72","583.72","4677.75","24","434","1113","percent of total billed charges",""
"ANCHOR SUTURE 2 5.5X16MM ARTHROSCOPY CORKSCREW FIBERWIRE LF FULL THREAD II TITANIUM ABSORBABLE STERILE DISPOSABLE BX/5EA","SUP-ITM-10015262","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","805.00","603.75","AETNA [1001]","HB AMC AETNA PPO","647.22","80.4","","605.12","103.74","1144.45","103","402.5","657.85","percent of total billed charges",""
"ANCHOR SUTURE 2 5.5X16MM ARTHROSCOPY CORKSCREW FIBERWIRE LF FULL THREAD II TITANIUM ABSORBABLE STERILE DISPOSABLE BX/5EA","SUP-ITM-10015262","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","805.00","603.75","INTERNATIONAL COMMERCIAL [140001]","HB AMC UNITED PPO / POS","657.85","81.72","","6174.52","3163.80","6174.52","1 through 10","402.5","657.85","percent of total billed charges",""
"ANCHOR SUTURE 21MM LONG BOLT CAP GASKET BX/3EA","SUP-ITM-10151449","CDM","C1713","HCPCS","0278","RC","","","","both","","","733.83","550.37","UNITED HEALTHCARE [1016]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","314.81","42.9","","264.16","182.73","1329.00","52","227.49","583.39","percent of total billed charges",""
"ANCHOR SUTURE 24.5X4.75MM ARTHROSCOPY SWIVELOCK BIOCOMPOSITE VENTED CLOSED EYELET BX/5EA","SUP-ITM-10078784","CDM","C1713","HCPCS","0278","RC","","","","both","","","1470.00","1102.50","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","536.55","36.5","","149.84","82.76","934.90","224","455.7","1168.65","percent of total billed charges",""
"ANCHOR SUTURE 3.5MM SZ 2 WEDGE II TITANIUM 2 STRAND FORCE FIBER BX/5EA","SUP-ITM-10033415","CDM","C1713","HCPCS","0278","RC","","","","both","","","889.14","666.85","CIGNA ALTERNATE [1018]","HB AMC CIGNA NEW BUSINESS DISCOUNT","473.91","53.3","","610.80","79.76","2075.55","343","275.63","706.87","percent of total billed charges",""
"ANCHOR SUTURE 3.5MM SZ 2 WEDGE II TITANIUM 2 STRAND FORCE FIBER BX/5EA","SUP-ITM-10033415","CDM","C1713","HCPCS","0278","RC","","","","both","","","889.14","666.85","PHCS MULTIPLAN [1022]","HB AMC CLARITEV (PRIMARY PPO)","684.64","77","","507.62","507.62","507.62","1 through 10","275.63","706.87","percent of total billed charges",""
"ANCHOR SUTURE 3MM GRYPHON PEEK PROKNOT","SUP-ITM-10148434","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","1074.50","805.87","AETNA [1001]","HB AMC AETNA HMO","750.00","69.8","","499.18","75.60","1018.34","748","537.25","878.08","percent of total billed charges",""
"ANCHOR SUTURE 4.5MM ARTHROSCOPY REELX STT PEEK SS CORE KNOTLESS SHAPR TIP EXPANDABLE BX/5EA","SUP-ITM-10146504","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","1137.50","853.12","AETNA [1001]","HB AMC AETNA PPO","914.55","80.4","","605.12","103.74","1144.45","103","568.75","929.57","percent of total billed charges",""
"ANCHOR SUTURE 4.5MM RADIOLUCENT HEALIX ADVANCE BIOCRYL RAPIDE","SUP-ITM-10114324","CDM","C1713","HCPCS","0278","RC","","","","both","","","945.00","708.75","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","344.93","36.5","","149.84","82.76","934.90","224","292.95","751.28","percent of total billed charges",""
"ANCHOR SUTURE 4.5MM RADIOLUCENT HEALIX ADVANCE BIOCRYL RAPIDE","SUP-ITM-10114324","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","945.00","708.75","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","772.25","81.72","","590.85","590.85","590.85","41","472.5","772.25","percent of total billed charges",""
"ANCHOR SUTURE 4.75X19.1MM SWIVELOCK IMPLANT ARTHROSCOPY SPEEDBRIDGE BIOCOMPOSITE","SUP-ITM-10114047","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","5220.00","3915.00","INTERNATIONAL COMMERCIAL [140001]","HB AMC AETNA PPO","4196.88","80.4","","1358.66","68.25","2660.13","20","2610","4265.78","percent of total billed charges",""
"ANCHOR SUTURE 4.75X19.1MM SWIVELOCK IMPLANT ARTHROSCOPY SPEEDBRIDGE BIOCOMPOSITE","SUP-ITM-10114047","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","5220.00","3915.00","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","4265.78","81.72","","590.85","590.85","590.85","41","2610","4265.78","percent of total billed charges",""
