facility,"ZZQS - 5mm x 40mm balloon, 130cm shaft,5 Fr Lutonix Drug Coated PTA Catheter, 0.035in max guidewire",SUP-525544,CDM,C2623,HCPCS,0272,RC,,,,inpatient,,,3498,1399.2,1504.14,3717.97,,1920.4,,,,,,,percent of total billed charges,,2455.6,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,2623.5,,,,,,,percent of total billed charges,,,,,,,,,,,2623.5,,,,,,,percent of total billed charges,,2553.54,,,,,,,percent of total billed charges,,2007.85,,,,,,,percent of total billed charges,,2280.7,,,,,,,percent of total billed charges,,1609.08,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445.1,,,,,,,percent of total billed charges,,2903.34,,,,,,,percent of total billed charges,,1504.14,,,,,,,percent of total billed charges,,1749,,,,,,,percent of total billed charges,,2448.6,,,,,,,percent of total billed charges,,2665.48,,,,,,,percent of total billed charges,,2018.35,,,,,,,percent of total billed charges,,2623.5,,,,,,,percent of total billed charges,,2973.3,,,,,,,percent of total billed charges,,2973.3,,,,,,,percent of total billed charges,,2623.5,,,,,,,percent of total billed charges,,1818.96,,,,,,,percent of total billed charges,,1644.06,,,,,,,percent of total billed charges,,2448.6,,,,,,,percent of total billed charges,,2973.3,,,,,,,percent of total billed charges,,2448.6,,,,,,,percent of total billed charges,,2098.8,,,,,,,percent of total billed charges,,3717.97,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 / 7 Fr x 130cm ELCA Coronary Laser Atherectomy Catheter, 1.4mm RX, 2.2mm min vessel dia, .014in GW compat.",SUP-173285,CDM,C1885,HCPCS,0272,RC,,,,inpatient,,,9524.1,3809.64,4095.36,10123.01,,5228.73,,,,,,,percent of total billed charges,,6685.92,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,7143.08,,,,,,,percent of total billed charges,,,,,,,,,,,7143.08,,,,,,,percent of total billed charges,,6952.59,,,,,,,percent of total billed charges,,5466.83,,,,,,,percent of total billed charges,,6209.71,,,,,,,percent of total billed charges,,4381.09,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6657.35,,,,,,,percent of total billed charges,,7905,,,,,,,percent of total billed charges,,4095.36,,,,,,,percent of total billed charges,,4762.05,,,,,,,percent of total billed charges,,6666.87,,,,,,,percent of total billed charges,,7257.36,,,,,,,percent of total billed charges,,5495.41,,,,,,,percent of total billed charges,,7143.08,,,,,,,percent of total billed charges,,8095.49,,,,,,,percent of total billed charges,,8095.49,,,,,,,percent of total billed charges,,7143.08,,,,,,,percent of total billed charges,,4952.53,,,,,,,percent of total billed charges,,4476.33,,,,,,,percent of total billed charges,,6666.87,,,,,,,percent of total billed charges,,8095.49,,,,,,,percent of total billed charges,,6666.87,,,,,,,percent of total billed charges,,5714.46,,,,,,,percent of total billed charges,,10123.01,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 FR IMPULSE ANGIO DIAG CATH, AL1 5 PACK",SUP-18757,CDM,,,0270,RC,,,,outpatient,,,29.64,11.86,12.75,31.5,,16.27,,,,,,,percent of total billed charges,,20.81,,,,,,,percent of total billed charges,,14.16,,,,,,,percent of total billed charges,,,,,,,,,,,22.23,,,,,,,percent of total billed charges,,,,,,,,,,,22.23,,,,,,,percent of total billed charges,,21.64,,,,,,,percent of total billed charges,,17.01,,,,,,,percent of total billed charges,,19.33,,,,,,,percent of total billed charges,,13.63,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72,,,,,,,percent of total billed charges,,24.6,,,,,,,percent of total billed charges,,12.75,,,,,,,percent of total billed charges,,14.82,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,22.59,,,,,,,percent of total billed charges,,17.1,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,15.41,,,,,,,percent of total billed charges,,13.93,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,17.78,,,,,,,percent of total billed charges,,31.5,,,,,,,percent of total billed charges,,14.16,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 FR IMPULSE ANGIO DIAG CATH, FR4 5 PACK",SUP-18634,CDM,,,0270,RC,,,,inpatient,,,29.64,11.86,12.75,31.5,,16.27,,,,,,,percent of total billed charges,,20.8,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,22.23,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,22.23,,,,,,,percent of total billed charges,,21.64,,,,,,,percent of total billed charges,,17.01,,,,,,,percent of total billed charges,,19.32,,,,,,,percent of total billed charges,,13.63,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72,,,,,,,percent of total billed charges,,24.6,,,,,,,percent of total billed charges,,12.75,,,,,,,percent of total billed charges,,14.82,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,22.59,,,,,,,percent of total billed charges,,17.1,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,15.41,,,,,,,percent of total billed charges,,13.93,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,17.78,,,,,,,percent of total billed charges,,31.5,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 FR IMPULSE ANGIO DIAG CATH, MPA-1 5 PACK",SUP-18646,CDM,,,0270,RC,,,,inpatient,,,29.64,11.86,12.75,31.5,,16.27,,,,,,,percent of total billed charges,,20.8,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,22.23,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,22.23,,,,,,,percent of total billed charges,,21.64,,,,,,,percent of total billed charges,,17.01,,,,,,,percent of total billed charges,,19.32,,,,,,,percent of total billed charges,,13.63,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72,,,,,,,percent of total billed charges,,24.6,,,,,,,percent of total billed charges,,12.75,,,,,,,percent of total billed charges,,14.82,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,22.59,,,,,,,percent of total billed charges,,17.1,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,15.41,,,,,,,percent of total billed charges,,13.93,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,17.78,,,,,,,percent of total billed charges,,31.5,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 FR IMPULSE ANGIO DIAG CATH, MPA-2 125CM SIN",SUP-18651,CDM,,,0270,RC,,,,inpatient,,,29.64,11.86,12.75,31.5,,16.27,,,,,,,percent of total billed charges,,20.8,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,22.23,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,22.23,,,,,,,percent of total billed charges,,21.64,,,,,,,percent of total billed charges,,17.01,,,,,,,percent of total billed charges,,19.32,,,,,,,percent of total billed charges,,13.63,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72,,,,,,,percent of total billed charges,,24.6,,,,,,,percent of total billed charges,,12.75,,,,,,,percent of total billed charges,,14.82,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,22.59,,,,,,,percent of total billed charges,,17.1,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,22.23,,,,,,,percent of total billed charges,,15.41,,,,,,,percent of total billed charges,,13.93,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,25.19,,,,,,,percent of total billed charges,,20.75,,,,,,,percent of total billed charges,,17.78,,,,,,,percent of total billed charges,,31.5,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 100cm, 0.071 inch Launcher Guiding Cath, Amplatz Left .75",SUP-241356,CDM,C1887,HCPCS,0272,RC,,,,outpatient,,,156.8,62.72,0.05,166.66,,86.08,,,,,,,percent of total billed charges,,110.07,,,,,,,percent of total billed charges,,0.05,,,,,,,fee schedule,,,,,,,,,,,117.6,,,,,,,percent of total billed charges,,,,,,,,,,,117.6,,,,,,,percent of total billed charges,,114.46,,,,,,,percent of total billed charges,,90,,,,,,,percent of total billed charges,,102.23,,,,,,,percent of total billed charges,,72.13,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6,,,,,,,percent of total billed charges,,130.14,,,,,,,percent of total billed charges,,67.42,,,,,,,percent of total billed charges,,78.4,,,,,,,percent of total billed charges,,109.76,,,,,,,percent of total billed charges,,119.48,,,,,,,percent of total billed charges,,90.47,,,,,,,percent of total billed charges,,117.6,,,,,,,percent of total billed charges,,133.28,,,,,,,percent of total billed charges,,133.28,,,,,,,percent of total billed charges,,117.6,,,,,,,percent of total billed charges,,81.54,,,,,,,percent of total billed charges,,73.7,,,,,,,percent of total billed charges,,109.76,,,,,,,percent of total billed charges,,133.28,,,,,,,percent of total billed charges,,109.76,,,,,,,percent of total billed charges,,94.08,,,,,,,percent of total billed charges,,166.66,,,,,,,percent of total billed charges,,0.05,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 100cm, AL3 Amplatz Left curve, Expo Angio Cath (EA)",SUP-20514,CDM,,,0270,RC,,,,inpatient,,,27.44,10.98,11.8,29.17,,15.06,,,,,,,percent of total billed charges,,19.26,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,20.58,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,20.58,,,,,,,percent of total billed charges,,20.03,,,,,,,percent of total billed charges,,15.75,,,,,,,percent of total billed charges,,17.89,,,,,,,percent of total billed charges,,12.62,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18,,,,,,,percent of total billed charges,,22.78,,,,,,,percent of total billed charges,,11.8,,,,,,,percent of total billed charges,,13.72,,,,,,,percent of total billed charges,,19.21,,,,,,,percent of total billed charges,,20.91,,,,,,,percent of total billed charges,,15.83,,,,,,,percent of total billed charges,,20.58,,,,,,,percent of total billed charges,,23.32,,,,,,,percent of total billed charges,,23.32,,,,,,,percent of total billed charges,,20.58,,,,,,,percent of total billed charges,,14.27,,,,,,,percent of total billed charges,,12.9,,,,,,,percent of total billed charges,,19.21,,,,,,,percent of total billed charges,,23.32,,,,,,,percent of total billed charges,,19.21,,,,,,,percent of total billed charges,,16.46,,,,,,,percent of total billed charges,,29.17,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 100cm, FL6 Femoral Left curve, Expo Angio Cath (EA)",SUP-20586,CDM,,,0270,RC,,,,inpatient,,,27.44,10.98,11.8,29.17,,15.06,,,,,,,percent of total billed charges,,19.26,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,20.58,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,20.58,,,,,,,percent of total billed charges,,20.03,,,,,,,percent of total billed charges,,15.75,,,,,,,percent of total billed charges,,17.89,,,,,,,percent of total billed charges,,12.62,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18,,,,,,,percent of total billed charges,,22.78,,,,,,,percent of total billed charges,,11.8,,,,,,,percent of total billed charges,,13.72,,,,,,,percent of total billed charges,,19.21,,,,,,,percent of total billed charges,,20.91,,,,,,,percent of total billed charges,,15.83,,,,,,,percent of total billed charges,,20.58,,,,,,,percent of total billed charges,,23.32,,,,,,,percent of total billed charges,,23.32,,,,,,,percent of total billed charges,,20.58,,,,,,,percent of total billed charges,,14.27,,,,,,,percent of total billed charges,,12.9,,,,,,,percent of total billed charges,,19.21,,,,,,,percent of total billed charges,,23.32,,,,,,,percent of total billed charges,,19.21,,,,,,,percent of total billed charges,,16.46,,,,,,,percent of total billed charges,,29.17,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 105cm x 12cm, Straight Neuron Delivery Catheter",SUP-307983,CDM,C1887,HCPCS,0272,RC,,,,inpatient,,,2295,918,986.85,2439.32,,1259.96,,,,,,,percent of total billed charges,,1611.09,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,1721.25,,,,,,,percent of total billed charges,,,,,,,,,,,1721.25,,,,,,,percent of total billed charges,,1675.35,,,,,,,percent of total billed charges,,1317.33,,,,,,,percent of total billed charges,,1496.34,,,,,,,percent of total billed charges,,1055.7,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604.21,,,,,,,percent of total billed charges,,1904.85,,,,,,,percent of total billed charges,,986.85,,,,,,,percent of total billed charges,,1147.5,,,,,,,percent of total billed charges,,1606.5,,,,,,,percent of total billed charges,,1748.79,,,,,,,percent of total billed charges,,1324.22,,,,,,,percent of total billed charges,,1721.25,,,,,,,percent of total billed charges,,1950.75,,,,,,,percent of total billed charges,,1950.75,,,,,,,percent of total billed charges,,1721.25,,,,,,,percent of total billed charges,,1193.4,,,,,,,percent of total billed charges,,1078.65,,,,,,,percent of total billed charges,,1606.5,,,,,,,percent of total billed charges,,1950.75,,,,,,,percent of total billed charges,,1606.5,,,,,,,percent of total billed charges,,1377,,,,,,,percent of total billed charges,,2439.32,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 110 cm Arrow Occlusion Balloon Catheter Model 6747, Use With Coronary Venous Leads",SUP-150194,CDM,C2628,HCPCS,0272,RC,,,,inpatient,,,196,78.4,84.28,208.33,,107.6,,,,,,,percent of total billed charges,,137.59,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,147,,,,,,,percent of total billed charges,,,,,,,,,,,147,,,,,,,percent of total billed charges,,143.08,,,,,,,percent of total billed charges,,112.5,,,,,,,percent of total billed charges,,127.79,,,,,,,percent of total billed charges,,90.16,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,percent of total billed charges,,162.68,,,,,,,percent of total billed charges,,84.28,,,,,,,percent of total billed charges,,98,,,,,,,percent of total billed charges,,137.2,,,,,,,percent of total billed charges,,149.35,,,,,,,percent of total billed charges,,113.09,,,,,,,percent of total billed charges,,147,,,,,,,percent of total billed charges,,166.6,,,,,,,percent of total billed charges,,166.6,,,,,,,percent of total billed charges,,147,,,,,,,percent of total billed charges,,101.92,,,,,,,percent of total billed charges,,92.12,,,,,,,percent of total billed charges,,137.2,,,,,,,percent of total billed charges,,166.6,,,,,,,percent of total billed charges,,137.2,,,,,,,percent of total billed charges,,117.6,,,,,,,percent of total billed charges,,208.33,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 110cm, Large curve, 2-5-2 mm spacing, Dynamic Tip Steerable Quadrapolar Cath (formerly Bard EP)",SUP-509105,CDM,C1730,HCPCS,0272,RC,,,,outpatient,,,1360,544,0.05,1445.52,,746.64,,,,,,,percent of total billed charges,,954.72,,,,,,,percent of total billed charges,,0.05,,,,,,,fee schedule,,,,,,,,,,,1020,,,,,,,percent of total billed charges,,,,,,,,,,,1020,,,,,,,percent of total billed charges,,992.8,,,,,,,percent of total billed charges,,780.64,,,,,,,percent of total billed charges,,886.72,,,,,,,percent of total billed charges,,625.6,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.64,,,,,,,percent of total billed charges,,1128.8,,,,,,,percent of total billed charges,,584.8,,,,,,,percent of total billed charges,,680,,,,,,,percent of total billed charges,,952,,,,,,,percent of total billed charges,,1036.32,,,,,,,percent of total billed charges,,784.72,,,,,,,percent of total billed charges,,1020,,,,,,,percent of total billed charges,,1156,,,,,,,percent of total billed charges,,1156,,,,,,,percent of total billed charges,,1020,,,,,,,percent of total billed charges,,707.2,,,,,,,percent of total billed charges,,639.2,,,,,,,percent of total billed charges,,952,,,,,,,percent of total billed charges,,1156,,,,,,,percent of total billed charges,,952,,,,,,,percent of total billed charges,,816,,,,,,,percent of total billed charges,,1445.52,,,,,,,percent of total billed charges,,0.05,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x 90 cm, 2-Lumen, Berman Angiographic Balloon Catheter",SUP-169780,CDM,C1887,HCPCS,0272,RC,,,,outpatient,,,850,340,0.05,903.45,,466.65,,,,,,,percent of total billed charges,,596.7,,,,,,,percent of total billed charges,,0.05,,,,,,,fee schedule,,,,,,,,,,,637.5,,,,,,,percent of total billed charges,,,,,,,,,,,637.5,,,,,,,percent of total billed charges,,620.5,,,,,,,percent of total billed charges,,487.9,,,,,,,percent of total billed charges,,554.2,,,,,,,percent of total billed charges,,391,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.15,,,,,,,percent of total billed charges,,705.5,,,,,,,percent of total billed charges,,365.5,,,,,,,percent of total billed charges,,425,,,,,,,percent of total billed charges,,595,,,,,,,percent of total billed charges,,647.7,,,,,,,percent of total billed charges,,490.45,,,,,,,percent of total billed charges,,637.5,,,,,,,percent of total billed charges,,722.5,,,,,,,percent of total billed charges,,722.5,,,,,,,percent of total billed charges,,637.5,,,,,,,percent of total billed charges,,442,,,,,,,percent of total billed charges,,399.5,,,,,,,percent of total billed charges,,595,,,,,,,percent of total billed charges,,722.5,,,,,,,percent of total billed charges,,595,,,,,,,percent of total billed charges,,510,,,,,,,percent of total billed charges,,903.45,,,,,,,percent of total billed charges,,0.05,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"ZZQS - 6 Fr x100cm, JL40, Sherpa Balanced Guiding Cath",SUP-232782,CDM,,,0270,RC,,,,outpatient,,,156.8,62.72,67.42,166.66,,86.08,,,,,,,percent of total billed charges,,110.07,,,,,,,percent of total billed charges,,74.93,,,,,,,percent of total billed charges,,,,,,,,,,,117.6,,,,,,,percent of total billed charges,,,,,,,,,,,117.6,,,,,,,percent of total billed charges,,114.46,,,,,,,percent of total billed charges,,90,,,,,,,percent of total billed charges,,102.23,,,,,,,percent of total billed charges,,72.13,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6,,,,,,,percent of total billed charges,,130.14,,,,,,,percent of total billed charges,,67.42,,,,,,,percent of total billed charges,,78.4,,,,,,,percent of total billed charges,,109.76,,,,,,,percent of total billed charges,,119.48,,,,,,,percent of total billed charges,,90.47,,,,,,,percent of total billed charges,,117.6,,,,,,,percent of total billed charges,,133.28,,,,,,,percent of total billed charges,,133.28,,,,,,,percent of total billed charges,,117.6,,,,,,,percent of total billed charges,,81.54,,,,,,,percent of total billed charges,,73.7,,,,,,,percent of total billed charges,,109.76,,,,,,,percent of total billed charges,,133.28,,,,,,,percent of total billed charges,,109.76,,,,,,,percent of total billed charges,,94.08,,,,,,,percent of total billed charges,,166.66,,,,,,,percent of total billed charges,,74.93,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
